Beta,Sem_Filtro,Zr,Mo,Al
2.5,67.2,35.1,11.2,40.3
2.6,71.1,34.3,11.7,44.9
2.7,77,39.1,11.7,41.7
2.8,78.1,38.8,11.3,42
2.9,80,40.3,12.6,44.5
3,89.5,43.9,12.8,53.4
3.1,104.6,49.8,14.4,65.5
3.2,118.2,47.5,15.5,80.7
3.3,141,62.8,14.6,85.1
3.4,154,69,15.5,100.2
3.5,165.7,71.5,20.5,121.9
3.6,174.6,78.1,17.2,123.9
3.7,180.1,73.6,16.6,133.7
3.8,181.3,75,15.2,132.3
3.9,188.4,72.8,16.8,131.3
4,181.5,70.1,15.5,130.6
4.1,185.7,73.3,13.2,138.1
4.2,180.8,61.9,13.5,131.6
4.3,185,68.5,12.8,134.6
4.4,177.7,61.5,13.7,130.7
4.5,179.5,60.6,11.6,125.8
4.6,179.8,56.9,12.9,125.2
4.7,177.8,56.2,13.8,117.5
4.8,176.8,64.5,12.2,117
4.9,177.4,56,14,109.6
5,172.3,57.5,11.4,110.7
5.1,175.7,54,17,109.3
5.2,223.9,59.3,36.2,137.3
5.3,246.2,55.5,46.6,151.5
5.4,213.9,51.5,41.3,127.7
5.5,193.6,54.4,37.9,117.5
5.6,191,50.4,35.2,111.2
5.7,178.5,50.3,31.4,99.2
5.8,168,65.2,30.3,93.1
5.9,354.8,174.5,58.9,191.1
6,399.5,214.5,59.1,220.8
6.1,301.4,161.6,49.2,159.9
6.2,238.1,127.9,33.3,135
6.3,213.4,111.4,32.7,112.8
6.4,183.2,96.3,24.6,101.5
6.5,158.9,82.1,21.6,82.7
6.6,147.9,72.6,18.4,83.2
6.7,149,73.2,18.3,83.8
6.8,153,76,21.1,89.9
6.9,154.9,75.3,19.3,83.1
7,156.4,77.5,19.7,87.3
7.1,154.2,73.2,17.5,89.3
7.2,157.4,71.2,17.1,89.9
7.3,156,75.2,20.8,89.3
7.4,150.1,66.5,18,90.2
7.5,146.3,71.4,17.9,91
7.6,144.1,71.1,17.6,89.1
7.7,144.7,69.1,16.8,87.1
7.8,154.7,65.2,16,90.1
7.9,163,73.7,16.1,89.8
8,160.3,74.5,19.5,91.5
8.1,158.3,73,15.9,92.4
8.2,160.6,69.5,16.4,88.9
8.3,153.3,74.6,15.7,85.8
8.4,152.8,66.3,16.4,84.3
8.5,151.3,67.3,16.7,84.8
8.6,148.4,67.1,16.5,83
8.7,138.9,68.1,18,76.3
8.8,138.2,62.9,18,85.9
8.9,133.3,61.3,18.8,78.5
9,132.2,60.7,17.6,77.9
9.1,123.6,64.9,15.9,74.7
9.2,135.3,66.9,19.1,74.7
9.3,124.8,61.7,18.1,80.4
9.4,129.3,64.8,14.7,79.9
9.5,127.5,66.8,16.3,73.5
9.6,121.5,61.4,16.6,76.1
9.7,119.7,57.1,17.1,73.8
9.8,118.9,63,19.1,73.6
9.9,121.7,63.5,19.7,78.8
10,129.8,68.4,18.7,78.2
10.1,131.4,70.3,19.1,83.8
10.2,127.6,71.8,20.6,78.7
10.3,128.1,68.4,18.7,83.7
10.4,132.2,69.4,19.6,86
10.5,116.1,70.2,22,90.4
10.6,127.6,71.3,19.7,84.6
10.7,133.6,71.7,23.2,92.7
10.8,147.1,70.2,24.3,90.1
10.9,147.8,76.2,28.1,99.8
11,138.2,72.9,28.5,91.4
11.1,138.5,69.6,27.9,90.2
11.2,130.6,69.4,25.7,93.2
11.3,129.3,70.5,20.8,85.1
11.4,128.9,70.5,22.6,87
11.5,126.9,70.1,19.6,85.6
11.6,129,66.7,21.8,82.5
11.7,117.7,68.2,22.4,82.3
11.8,122.2,65.6,21.2,83.2
11.9,119.5,66.7,22.1,81.2
12,127.8,67.4,19.6,83
