beta,R0,R1,R2,R3,R4,R5
2.5,91,93,54.7,30.3,11.7,5
2.6,90,90,55,27.3,8.3,2
2.7,88,87.3,40.3,32.7,11.7,1.3
2.8,88,85.7,52.3,26.3,8,3.3
2.9,82,98.7,56,28.3,10,2.7
3,104,90,53.7,29,10.7,1.3
3.1,121,127,52.3,36,10,3
3.2,175,161,50.3,30.3,9.7,2.3
3.3,228,226.7,58.7,29,11,1.3
3.4,266,301.7,54.7,27.3,13,4.7
3.5,340,331,63,27.3,10.7,3.3
3.6,390,361.7,66.3,29.7,10,1.3
3.7,386,377.3,87.3,31,11.7,2.3
3.8,441,412,109,29,10.7,4
3.9,407,414.3,152.3,34.7,11.3,3.7
4,425,429.7,203,32.3,13,2.3
4.1,435,424.7,222.3,30.7,11,2.7
4.2,413,423,222,38.7,11.3,4.3
4.3,415,443.7,238.7,57,14.3,3.7
4.4,424,429.7,249.7,79.3,12,4
4.5,428,409.3,241.7,99.7,9.3,2.7
4.6,428,413.3,251.3,120.3,11.3,3.7
4.7,394,393,249.7,123,9.3,2.3
4.8,361,393.3,252,124,11,2
4.9,361,365.7,241.7,135.7,10.7,3
5,348,361.3,236,134.7,18,3.3
5.1,364,351,235.3,130,25.3,3.3
5.2,317,352,224.7,146.3,31,2
5.3,359,383.3,258.7,154.7,45,2.7
5.4,471,482.7,311.3,166.3,50,2.3
5.5,527,507,311,161.3,55.7,3
5.6,482,497.3,297.3,162.7,59,5
5.7,392,344.3,231.7,137,62.3,1.7
5.8,323,301,205.7,121.3,61.7,3.3
5.9,315,328.3,210,130.7,60.3,3
6,467,438.3,265.7,155,56.7,2.7
6.1,791,764,428.7,213,62.3,3.3
6.2,829,832.3,486.7,239,69.7,6.3
6.3,767,784.3,438.7,196,57.7,7.3
6.4,411,435.7,265,139.7,61.3,13
6.5,261,250.7,162.3,93,58.3,11
6.6,230,212.3,140.7,95,48.7,15.3
6.7,216,229.7,131.3,88.7,45.7,14.3
6.8,220,205,131,81.7,44,19.3
6.9,216,212,126.7,74.7,45,18.7
7,217,204.3,127,73,42.7,18
7.1,199,213.7,111.7,70.3,44.7,19.7
7.2,202,218.7,121.7,69,35.3,15
7.3,205,210.3,113,65,37.3,11.7
7.4,190,204,108.3,64.3,31,11.7
7.5,204,192.7,100,62.3,32.7,12.7
7.6,188,188.7,99.3,56.7,26.3,14.3
7.7,171,190.3,99.3,62.3,35.7,14.3
7.8,196,189.3,106,60,27,9
7.9,201,195,103.7,59.7,33.7,14.7
8,186,216.3,121,65.7,31.3,19
8.1,220,205.3,124,64.7,49.7,18
8.2,209,227.7,147,79,43.7,25.3
8.3,227,220.3,141,75,49.7,26
8.4,209,212.3,143.3,77,43.7,23.7
8.5,211,213.7,130.3,74.7,46.7,24.3
8.6,229,190.7,126.3,75.7,37.3,19.3
8.7,198,193,121.7,66.7,36.7,19.3
8.8,196,186.3,128.3,64.3,38.3,19.7
8.9,200,187.7,120.7,69.7,37.7,16.7
9,171,185.3,121,64.7,31.7,15.7
9.1,175,178.7,111,61.7,29.3,13.3
9.2,164,179.7,103.3,65,25,15.3
9.3,172,167.7,108.7,62,27.3,11.3
9.4,136,160,101.7,65.3,24,10
9.5,163,164.7,109.7,60.7,21.7,12.7
9.6,167,150.3,99,54.3,20.3,12.3
9.7,148,154.3,100.3,59.3,25.3,13.3
9.8,136,167.7,97.7,49.7,22,11
9.9,158,156.7,100.7,55,20.3,9.7
10,167,146,99.7,56,20.7,7.7
10.1,161,146,86.3,51.3,21.7,6.7
10.2,153,132,87,54,16.3,6.7
10.3,153,144.3,87.7,53.7,19,7.3
10.4,132,133.7,85.7,49.3,20,5.7
10.5,159,150.7,84.3,48.3,22,5.3
10.6,148,139.3,85.3,48.3,19.7,8
10.7,150,144.3,87.3,43.7,17,3.3
10.8,126,149.3,94.3,45.7,19,5.7
10.9,162,164.3,86.7,52.7,17.7,4.7
11,153,177.3,102,55.7,19.7,2.7
11.1,201,182.3,98,52,21.3,5
11.2,190,181,106.7,52,18.3,6.3
11.3,157,140,93.3,50.7,15,4.3
11.4,153,147,83.3,40.7,20.7,3.7
11.5,133,140.3,77,45.3,20,3.3
11.6,131,153.7,89.7,44,17,2
11.7,139,129.3,85.3,42,13,2.3
11.8,129,136.7,75.7,36.3,20.3,3.3
11.9,129,123.3,81.3,44.7,18,3
12,139,132.3,87,42,16.7,2.3
12.1,137,,,,,
12.2,167,,,,,
12.3,204,,,,,
12.4,253,,,,,
12.5,293,,,,,
12.6,247,,,,,
12.7,161,,,,,
12.8,141,,,,,
12.9,133,,,,,
13,127,,,,,
13.1,107,,,,,
13.2,132,,,,,
13.3,139,,,,,
13.4,139,,,,,
13.5,120,,,,,
13.6,109,,,,,
13.7,140,,,,,
13.8,102,,,,,
13.9,147,,,,,
14,108,,,,,
14.1,139,,,,,
14.2,112,,,,,
14.3,111,,,,,
14.4,146,,,,,
14.5,116,,,,,
14.6,126,,,,,
14.7,115,,,,,
14.8,118,,,,,
14.9,114,,,,,
15,99,,,,,
15.1,127,,,,,
15.2,108,,,,,
15.3,117,,,,,
15.4,101,,,,,
15.5,135,,,,,
15.6,103,,,,,
15.7,113,,,,,
15.8,113,,,,,
15.9,109,,,,,
16,108,,,,,
16.1,105,,,,,
16.2,103,,,,,
16.3,141,,,,,
16.4,109,,,,,
16.5,126,,,,,
16.6,142,,,,,
16.7,144,,,,,
16.8,107,,,,,
16.9,109,,,,,
17,118,,,,,
17.1,136,,,,,
17.2,121,,,,,
