beta,R0,R1,R2,R3,R4,R5
2.5,8,10,7.3,4.3,1,0
2.6,7,9.7,5.3,3,2.3,1
2.7,11,9.7,5.7,3.7,0.7,0
2.8,5,13.3,4,2,2,0.7
2.9,8,9.7,3.3,3,0.3,1
3,10,10.7,4.7,2.3,0.3,0.7
3.1,12,10,5,2.3,1.7,0.3
3.2,3,9.7,4.7,2,1,0.7
3.3,7,10.3,4.3,2.7,1.7,1.3
3.4,10,11,6,2.3,1.3,0.3
3.5,23,24,5.3,2.3,1.3,1
3.6,70,75,4,1.7,0.7,1.3
3.7,192,175.3,4,2.3,1.3,0.3
3.8,360,359.3,3.3,3,2.7,1.3
3.9,488,536.3,4,2,0.3,0.3
4,684,663.3,6,2.3,1,0.7
4.1,768,753.3,12,2,1.3,0.3
4.2,866,834.7,37.3,3.3,0.3,0
4.3,872,891.3,96.3,2.3,0.7,1.3
4.4,958,936.7,213.3,2.7,1.3,0
4.5,1024,985.3,308,2.7,1,0.7
4.6,1066,1030,427.3,2,0.3,0.3
4.7,1079,1034.3,481,2.3,1,0.7
4.8,1021,1064,537,8,0,1.7
4.9,1078,1069.3,583.7,29.3,1.7,0
5,1056,1085,614.3,66.7,1.3,0
5.1,1080,1042.7,610.7,131.3,1,0.3
5.2,1053,1019.3,653.7,215.3,0.3,0.3
5.3,1039,1028.3,655.7,251.3,1.7,0.3
5.4,1011,1006.7,670.3,310.3,0,0.7
5.5,966,991.3,678.3,327.3,1,0.3
5.6,994,959.7,659.7,339,0,1
5.7,950,953,677,359.7,4,1
5.8,914,942.3,641.7,395.7,7.7,0
5.9,919,877,617.7,365.3,34.3,1
6,837,861.3,613.7,386.7,62.7,0.3
6.1,833,860,601.7,388.3,94,0.7
6.2,981,1019.3,700.3,408,126,1
6.3,1323,1422.3,881.3,498,152.7,1
6.4,1585,1569,1003,532.7,177.7,0
6.5,1501,1464.3,958.3,540.7,181.7,0.3
6.6,1083,1024.3,712.3,435.7,182.3,1.3
6.7,752,746.7,550.3,378.3,183,0.7
6.8,734,695,526.3,364,188,1.7
6.9,712,731,517,354.3,177.3,1
7,1016,1025.7,676.7,415.3,191,2.7
7.1,2091,2142,1357.7,689.3,217.7,5.3
7.2,2712,2719.3,1707.7,847.3,222.7,9.7
7.3,2762,2805,1718.7,822.7,232,18
7.4,1823,1720.7,1118,584.7,215,30
7.5,801,748.7,532.3,338,176.3,41.7
7.6,516,533.3,394.3,280,168.7,43.7
7.7,487,487.3,348.7,255.7,176.3,52
7.8,504,485.3,337,232,145.7,61.3
7.9,496,467.3,311,224.3,140,55.3
8,458,469,292.7,226.7,162,58
8.1,460,440.3,273,221.7,136.3,69.7
8.2,419,426,268.3,190,131.7,63
8.3,462,426,249,197.3,128,67.7
8.4,431,434,236.7,192,124.7,61.3
8.5,392,394,233,164,122,64
8.6,403,391.7,223.7,174.3,113,57.3
8.7,400,396.7,219,162.3,105,54.7
8.8,377,362.7,197.3,148.7,100.3,52.7
8.9,329,366.7,200.7,140.7,85.3,44.7
9,326,345.3,193.7,142,93.7,52.3
