Tensao [V];Corrente [A]
-5;-1,642831E-09
-4,95;-1,610028E-09
-4,9;-1,583219E-09
-4,85;-1,563814E-09
-4,8;-1,542865E-09
-4,75;-1,526323E-09
-4,7;-1,508996E-09
-4,65;-1,492738E-09
-4,6;-1,478275E-09
-4,55;-1,463699E-09
-4,5;-1,450245E-09
-4,45;-1,434474E-09
-4,4;-1,42157E-09
-4,35;-1,406951E-09
-4,3;-1,393738E-09
-4,25;-1,381542E-09
-4,2;-1,369487E-09
-4,15;-1,357888E-09
-4,1;-1,3444E-09
-4,05;-1,329241E-09
-4;-1,31547E-09
-3,95;-1,301534E-09
-3,9;-1,287718E-09
-3,85;-1,273345E-09
-3,8;-1,260174E-09
-3,75;-1,246832E-09
-3,7;-1,233195E-09
-3,65;-1,218092E-09
-3,6;-1,205383E-09
-3,55;-1,191412E-09
-3,5;-1,180763E-09
-3,45;-1,167181E-09
-3,4;-1,149576E-09
-3,35;-1,134677E-09
-3,3;-1,119151E-09
-3,25;-1,104537E-09
-3,2;-1,090661E-09
-3,15;-1,074146E-09
-3,1;-1,060818E-09
-3,05;-1,043159E-09
-3;-1,028593E-09
-2,95;-1,011115E-09
-2,9;-9,929384E-10
-2,85;-9,752943E-10
-2,8;-9,58872E-10
-2,75;-9,401806E-10
-2,7;-9,233573E-10
-2,65;-9,033104E-10
-2,6;-8,823438E-10
-2,55;-8,60734E-10
-2,5;-8,409639E-10
-2,45;-8,165091E-10
-2,4;-7,916978E-10
-2,35;-7,668447E-10
-2,3;-7,397881E-10
-2,25;-7,111335E-10
-2,2;-6,791023E-10
-2,15;-6,469303E-10
-2,1;-6,125261E-10
-2,05;-5,713867E-10
-2;-5,307515E-10
-1,95;-4,869646E-10
-1,9;-4,421343E-10
-1,85;-3,895484E-10
-1,8;-3,3008E-10
-1,75;-2,707773E-10
-1,7;-2,038488E-10
-1,65;-1,228447E-10
-1,6;-2,58055E-11
-1,55;8,704097E-11
-1,5;2,191664E-10
-1,45;3,911082E-10
-1,4;6,070134E-10
-1,35;8,6813E-10
-1,3;1,187888E-09
-1,25;1,592456E-09
-1,2;2,192674E-09
-1,15;2,714703E-09
-1,1;3,527778E-09
-1,05;4,616156E-09
-1;6,135005E-09
-0,95;8,302549E-09
-0,9;1,140085E-08
-0,85;1,576794E-08
-0,8;2,509433E-08
-0,75;3,474599E-08
-0,7;4,789405E-08
-0,65;6,564915E-08
-0,6;8,850155E-08
-0,55;1,166285E-07
-0,5;1,498046E-07
-0,45;1,873309E-07
-0,4;2,285498E-07
-0,35;2,736428E-07
-0,3;3,224742E-07
-0,25;3,75045E-07
-0,2;4,310079E-07
-0,15;4,901929E-07
-0,1;5,522851E-07
-0,05;6,172201E-07
0;6,856645E-07
0,05;7,56034E-07
0,1;8,290746E-07
0,15;9,045165E-07
0,2;9,824151E-07
0,25;1,062592E-06
0,3;1,145102E-06
0,35;1,230135E-06
0,4;1,317666E-06
0,45;1,407687E-06
0,5;1,500307E-06
0,55;1,5955E-06
0,6;1,693266E-06
0,65;1,793675E-06
0,7;1,896991E-06
0,75;2,002477E-06
0,8;2,110509E-06
0,85;2,220569E-06
0,9;2,331935E-06
0,95;2,444993E-06
1;2,559289E-06
1,05;2,674878E-06
1,1;2,790101E-06
1,15;2,90783E-06
1,2;3,025236E-06
1,25;3,143191E-06
1,3;3,260683E-06
1,35;3,378238E-06
1,4;3,495831E-06
1,45;3,612546E-06
1,5;3,728501E-06
1,55;3,843811E-06
1,6;3,958846E-06
1,65;4,073395E-06
1,7;4,187204E-06
1,75;4,300396E-06
1,8;4,413492E-06
1,85;4,525999E-06
1,9;4,63785E-06
1,95;4,749304E-06
2;4,860444E-06
2,05;4,971218E-06
2,1;5,081797E-06
2,15;5,191346E-06
2,2;5,300304E-06
2,25;5,408348E-06
2,3;5,515214E-06
2,35;5,621006E-06
2,4;5,725579E-06
2,45;5,828763E-06
2,5;5,930507E-06
2,55;6,03023E-06
2,6;6,128163E-06
2,65;6,224322E-06
2,7;6,318253E-06
2,75;6,410232E-06
2,8;6,50065E-06
2,85;6,588871E-06
2,9;6,675054E-06
2,95;6,759278E-06
3;6,841773E-06
3,05;6,922655E-06
3,1;7,001565E-06
3,15;7,078727E-06
3,2;7,155047E-06
3,25;7,229786E-06
3,3;7,303285E-06
3,35;7,375935E-06
3,4;7,44768E-06
3,45;7,518828E-06
3,5;7,590309E-06
3,55;7,660574E-06
3,6;7,730589E-06
3,65;7,801015E-06
3,7;7,870941E-06
3,75;7,940477E-06
3,8;8,009694E-06
3,85;8,079011E-06
3,9;8,147679E-06
3,95;8,216353E-06
4;8,284623E-06
4,05;8,352575E-06
4,1;8,420021E-06
4,15;8,486903E-06
4,2;8,554205E-06
4,25;8,620386E-06
4,3;8,686226E-06
4,35;8,75155E-06
4,4;8,815825E-06
4,45;8,879314E-06
4,5;8,942425E-06
4,55;9,00435E-06
4,6;9,065173E-06
4,65;9,124772E-06
4,7;9,183427E-06
4,75;9,241303E-06
4,8;9,298274E-06
4,85;9,353756E-06
4,9;9,408026E-06
4,95;9,460919E-06
5;9,512811E-06
