Frequencia	Intensidade
7.49972E14	456
7.49857E14	380
7.49742E14	376
7.49627E14	587
7.49512E14	496
7.49397E14	444
7.49282E14	352
7.49168E14	381
7.49053E14	339
7.48938E14	344
7.48824E14	606
7.48709E14	371
7.48594E14	430
7.4848E14	398
7.48365E14	279
7.48251E14	408
7.48136E14	574
7.48022E14	478
7.47908E14	465
7.47793E14	385
7.47679E14	473
7.47565E14	438
7.47451E14	412
7.47336E14	769
7.47222E14	607
7.47108E14	409
7.46994E14	261
7.4688E14	353
7.46766E14	406
7.46652E14	546
7.46538E14	575
7.46424E14	411
7.4631E14	425
7.46196E14	360
7.46082E14	426
7.45969E14	603
7.45855E14	546
7.45741E14	483
7.45628E14	450
7.45514E14	417
7.454E14	344
7.45287E14	491
7.45173E14	696
7.4506E14	494
7.44946E14	413
7.44833E14	406
7.44719E14	352
7.44606E14	403
7.44493E14	561
7.44379E14	509
7.44266E14	446
7.44153E14	465
7.4404E14	320
7.43927E14	324
7.43813E14	477
7.437E14	647
7.43587E14	505
7.43474E14	518
7.43361E14	401
7.43248E14	280
7.43135E14	428
7.43023E14	889
7.4291E14	675
7.42797E14	537
7.42684E14	443
7.42571E14	263
7.42459E14	358
7.42346E14	528
7.42233E14	483
7.42121E14	457
7.42008E14	446
7.41896E14	333
7.41783E14	459
7.41671E14	383
7.41558E14	567
7.41446E14	421
7.41333E14	416
7.41221E14	471
7.41109E14	551
7.40997E14	425
7.40884E14	567
7.40772E14	561
7.4066E14	506
7.40548E14	436
7.40436E14	338
7.40324E14	350
7.40212E14	476
7.401E14	698
7.39988E14	489
7.39876E14	506
7.39764E14	557
7.39652E14	511
7.3954E14	415
7.39428E14	422
7.39317E14	394
7.39205E14	302
7.39093E14	420
7.38982E14	327
7.3887E14	500
7.38758E14	553
7.38647E14	439
7.38535E14	423
7.38424E14	393
7.38312E14	338
7.38201E14	347
7.3809E14	368
7.37978E14	530
7.37867E14	610
7.37756E14	498
7.37644E14	554
7.37533E14	309
7.37422E14	460
