Frequencia	Intensidade
7.49972E14	483
7.49857E14	374
7.49742E14	417
7.49627E14	676
7.49512E14	594
7.49397E14	406
7.49282E14	353
7.49168E14	404
7.49053E14	231
7.48938E14	353
7.48824E14	648
7.48709E14	463
7.48594E14	446
7.4848E14	374
7.48365E14	422
7.48251E14	446
7.48136E14	728
7.48022E14	545
7.47908E14	493
7.47793E14	438
7.47679E14	490
7.47565E14	385
7.47451E14	402
7.47336E14	982
7.47222E14	609
7.47108E14	451
7.46994E14	349
7.4688E14	322
7.46766E14	379
7.46652E14	606
7.46538E14	409
7.46424E14	373
7.4631E14	449
7.46196E14	271
7.46082E14	347
7.45969E14	721
7.45855E14	569
7.45741E14	579
7.45628E14	399
7.45514E14	383
7.454E14	313
7.45287E14	626
7.45173E14	861
7.4506E14	558
7.44946E14	465
7.44833E14	415
7.44719E14	339
7.44606E14	395
7.44493E14	688
7.44379E14	609
7.44266E14	410
7.44153E14	326
7.4404E14	292
7.43927E14	248
7.43813E14	466
7.437E14	786
7.43587E14	598
7.43474E14	460
7.43361E14	335
7.43248E14	314
7.43135E14	449
7.43023E14	737
7.4291E14	687
7.42797E14	558
7.42684E14	391
7.42571E14	233
7.42459E14	353
7.42346E14	684
7.42233E14	541
7.42121E14	499
7.42008E14	375
7.41896E14	345
7.41783E14	519
7.41671E14	437
7.41558E14	670
7.41446E14	438
7.41333E14	472
7.41221E14	543
7.41109E14	485
7.40997E14	386
7.40884E14	656
7.40772E14	688
7.4066E14	673
7.40548E14	395
7.40436E14	306
7.40324E14	367
7.40212E14	418
7.401E14	800
7.39988E14	462
7.39876E14	434
7.39764E14	581
7.39652E14	446
7.3954E14	419
7.39428E14	421
7.39317E14	332
7.39205E14	290
7.39093E14	366
7.38982E14	325
7.3887E14	513
7.38758E14	566
7.38647E14	532
7.38535E14	403
7.38424E14	376
7.38312E14	322
7.38201E14	281
7.3809E14	328
7.37978E14	592
7.37867E14	564
7.37756E14	454
7.37644E14	607
7.37533E14	357
7.37422E14	461
7.37311E14	768
7.372E14	529
7.37089E14	440
7.36978E14	399
7.36867E14	490
7.36756E14	310
7.36645E14	412
7.36534E14	671
7.36423E14	597
7.36312E14	440
7.36201E14	357
7.3609E14	370
7.3598E14	376
7.35869E14	538
7.35758E14	685
7.35648E14	305
7.35537E14	322
7.35426E14	278
7.35316E14	379
7.35205E14	730
7.35095E14	568
7.34984E14	404
7.34874E14	473
7.34764E14	293
7.34653E14	331
7.34543E14	477
7.34433E14	797
7.34322E14	659
7.34212E14	334
7.34102E14	378
7.33992E14	235
7.33882E14	418
7.33772E14	566
7.33661E14	581
7.33551E14	592
7.33441E14	469
7.33332E14	420
7.33222E14	345
7.33112E14	337
7.33002E14	726
7.32892E14	591
7.32782E14	572
7.32672E14	508
7.32563E14	301
7.32453E14	444
7.32343E14	776
7.32234E14	857
7.32124E14	585
7.32015E14	374
7.31905E14	202
7.31796E14	468
7.31686E14	668
7.31577E14	556
7.31467E14	451
7.31358E14	421
7.31249E14	366
7.31139E14	355
7.3103E14	632
7.30921E14	778
7.30812E14	594
7.30702E14	474
7.30593E14	463
7.30484E14	382
7.30375E14	415
7.30266E14	746
7.30157E14	648
7.30048E14	460
7.29939E14	426
7.2983E14	343
7.29721E14	243
7.29613E14	637
7.29504E14	852
7.29395E14	511
7.29286E14	379
7.29177E14	506
7.29069E14	330
7.2896E14	521
7.28852E14	795
7.28743E14	658
7.28634E14	455
7.28526E14	483
7.28417E14	239
7.28309E14	303
7.28201E14	845
7.28092E14	716
7.27984E14	488
7.27875E14	485
7.27767E14	412
7.27659E14	491
7.27551E14	689
7.27442E14	796
7.27334E14	550
7.27226E14	491
7.27118E14	607
7.2701E14	289
7.26902E14	520
7.26794E14	663
7.26686E14	778
7.26578E14	557
7.2647E14	530
7.26362E14	388
7.26254E14	274
7.26147E14	669
7.26039E14	869
7.25931E14	662
7.25823E14	567
7.25716E14	439
7.25608E14	364
7.255E14	512
7.25393E14	662
7.25285E14	646
7.25178E14	453
7.2507E14	590
7.24963E14	220
7.24855E14	444
7.24748E14	927
7.24641E14	733
7.24533E14	413
7.24426E14	518
7.24319E14	355
7.24211E14	452
7.24104E14	430
7.23997E14	722
7.2389E14	736
7.23783E14	465
7.23676E14	402
7.23569E14	520
7.23462E14	404
7.23355E14	843
7.23248E14	604
7.23141E14	525
7.23034E14	440
7.22927E14	440
7.2282E14	314
7.22713E14	608
7.22607E14	1148
7.225E14	639
7.22393E14	562
7.22287E14	429
7.2218E14	420
7.22073E14	432
7.21967E14	915
7.2186E14	712
7.21754E14	676
7.21647E14	446
7.21541E14	257
7.21434E14	324
7.21328E14	666
7.21222E14	530
7.21115E14	474
7.21009E14	536
7.20903E14	477
7.20797E14	291
7.2069E14	497
7.20584E14	761
7.20478E14	660
7.20372E14	494
7.20266E14	454
7.2016E14	390
7.20054E14	601
7.19948E14	722
7.19842E14	705
7.19736E14	602
7.1963E14	518
7.19524E14	449
7.19418E14	403
7.19313E14	620
7.19207E14	621
7.19101E14	520
7.18995E14	536
7.1889E14	452
7.18784E14	314
7.18679E14	642
7.18573E14	878
7.18467E14	569
7.18362E14	461
7.18256E14	545
7.18151E14	272
7.18046E14	515
7.1794E14	801
7.17835E14	652
7.17729E14	502
7.17624E14	485
7.17519E14	444
7.17414E14	315
7.17308E14	451
7.17203E14	793
7.17098E14	599
7.16993E14	611
7.16888E14	503
7.16783E14	581
7.16678E14	614
7.16573E14	901
7.16468E14	612
7.16363E14	601
7.16258E14	531
7.16153E14	497
7.16048E14	414
7.15944E14	478
7.15839E14	777
7.15734E14	661
7.15629E14	517
7.15525E14	438
7.1542E14	318
