Frequencia	Intensidade
7.49972E14	310
7.49857E14	172
7.49742E14	192
7.49627E14	460
7.49512E14	284
7.49397E14	259
7.49282E14	192
7.49168E14	194
7.49053E14	178
7.48938E14	191
7.48824E14	378
7.48709E14	245
7.48594E14	209
7.4848E14	188
7.48365E14	246
7.48251E14	240
7.48136E14	405
7.48022E14	273
7.47908E14	294
7.47793E14	233
7.47679E14	250
7.47565E14	197
7.47451E14	199
7.47336E14	534
7.47222E14	406
7.47108E14	222
7.46994E14	181
7.4688E14	164
7.46766E14	252
7.46652E14	518
7.46538E14	252
7.46424E14	224
7.4631E14	265
7.46196E14	152
7.46082E14	211
7.45969E14	368
7.45855E14	356
7.45741E14	315
7.45628E14	265
7.45514E14	217
7.454E14	299
7.45287E14	298
7.45173E14	395
7.4506E14	309
7.44946E14	225
7.44833E14	215
7.44719E14	141
7.44606E14	256
7.44493E14	456
7.44379E14	295
7.44266E14	280
7.44153E14	188
7.4404E14	260
7.43927E14	286
7.43813E14	254
7.437E14	366
7.43587E14	321
7.43474E14	209
7.43361E14	149
7.43248E14	151
7.43135E14	254
7.43023E14	466
7.4291E14	441
7.42797E14	335
7.42684E14	263
7.42571E14	118
7.42459E14	276
7.42346E14	363
7.42233E14	329
7.42121E14	325
7.42008E14	247
7.41896E14	189
7.41783E14	184
7.41671E14	247
7.41558E14	327
7.41446E14	281
7.41333E14	270
7.41221E14	247
7.41109E14	280
7.40997E14	191
7.40884E14	408
7.40772E14	390
7.4066E14	336
7.40548E14	205
7.40436E14	122
7.40324E14	228
7.40212E14	228
7.401E14	435
7.39988E14	367
7.39876E14	267
7.39764E14	370
7.39652E14	371
7.3954E14	214
7.39428E14	211
7.39317E14	193
7.39205E14	156
7.39093E14	236
7.38982E14	180
7.3887E14	260
7.38758E14	356
7.38647E14	341
7.38535E14	255
7.38424E14	285
7.38312E14	218
7.38201E14	185
7.3809E14	182
7.37978E14	392
7.37867E14	326
7.37756E14	287
7.37644E14	380
7.37533E14	239
7.37422E14	250
7.37311E14	444
7.372E14	347
7.37089E14	229
7.36978E14	265
7.36867E14	259
7.36756E14	188
7.36645E14	220
7.36534E14	439
7.36423E14	470
7.36312E14	261
7.36201E14	255
7.3609E14	157
