Frequencia	Intensidade
9.99221E14	543
9.95902E14	405
9.92605E14	644
9.8933E14	474
9.86076E14	608
9.82844E14	408
9.79633E14	606
9.76443E14	405
9.73273E14	693
9.70124E14	411
9.66995E14	589
9.63887E14	496
9.60798E14	690
9.57729E14	457
9.5468E14	727
9.5165E14	529
9.48639E14	657
9.45647E14	487
9.42674E14	705
9.3972E14	472
9.36784E14	624
9.33866E14	462
9.30967E14	652
9.28085E14	664
9.25221E14	730
9.22375E14	513
9.19546E14	688
9.16735E14	459
9.13941E14	739
9.11163E14	570
9.08403E14	727
9.05659E14	477
9.02932E14	705
9.00221E14	511
8.97526E14	748
8.94848E14	527
8.92185E14	731
8.89538E14	451
8.86907E14	724
8.84291E14	597
8.81691E14	685
8.79106E14	618
8.76536E14	793
8.73981E14	509
8.71441E14	836
8.68916E14	594
8.66405E14	776
8.63908E14	604
8.61426E14	803
8.58959E14	559
8.56505E14	817
8.54065E14	608
8.5164E14	789
8.49228E14	594
8.46829E14	803
8.44444E14	612
8.42073E14	843
8.39714E14	633
8.37369E14	820
8.35037E14	533
8.32718E14	873
8.30412E14	631
8.28118E14	838
8.25838E14	669
8.23569E14	838
8.21313E14	513
8.1907E14	815
8.16839E14	707
8.14619E14	834
8.12412E14	741
8.10217E14	2128
8.08033E14	2258
8.05862E14	2618
8.03702E14	2552
8.01553E14	5018
7.99416E14	5261
7.9729E14	6210
7.95176E14	6508
7.93073E14	7462
7.90981E14	8605
7.88899E14	10143
7.86829E14	11680
7.8477E14	14510
7.82721E14	17037
7.80683E14	21291
7.78656E14	26500
7.76639E14	34523
7.74633E14	43866
7.72637E14	57182
7.70651E14	71182
7.68675E14	90190
7.6671E14	110473
7.64754E14	135913
7.62809E14	163144
7.60873E14	189557
7.58947E14	216153
7.57031E14	238453
7.55124E14	253181
7.53227E14	261371
7.5134E14	262860
7.49462E14	259655
7.47593E14	251741
7.45734E14	240100
7.43884E14	225399
7.42043E14	212365
7.40211E14	201189
7.38388E14	192215
7.36574E14	182547
7.34769E14	176492
7.32973E14	168401
7.31186E14	158675
7.29407E14	147328
7.27637E14	135816
7.25875E14	124218
7.24122E14	113555
7.22378E14	102222
7.20642E14	92528
7.18914E14	82822
7.17194E14	75893
7.15483E14	68782
