Frequencia	Intensidade
7.49972E14	301
7.49857E14	223
7.49742E14	260
7.49627E14	467
7.49512E14	338
7.49397E14	343
7.49282E14	243
7.49168E14	272
7.49053E14	229
7.48938E14	234
7.48824E14	406
7.48709E14	390
7.48594E14	269
7.4848E14	265
7.48365E14	205
7.48251E14	268
7.48136E14	508
7.48022E14	357
7.47908E14	336
7.47793E14	300
7.47679E14	423
7.47565E14	228
7.47451E14	249
7.47336E14	650
7.47222E14	351
7.47108E14	320
7.46994E14	244
7.4688E14	203
7.46766E14	274
7.46652E14	448
7.46538E14	378
7.46424E14	260
7.4631E14	289
7.46196E14	181
7.46082E14	266
7.45969E14	500
7.45855E14	375
7.45741E14	461
7.45628E14	272
7.45514E14	231
7.454E14	228
7.45287E14	332
7.45173E14	460
7.4506E14	350
7.44946E14	237
7.44833E14	240
7.44719E14	193
7.44606E14	212
7.44493E14	533
7.44379E14	403
7.44266E14	300
7.44153E14	236
7.4404E14	227
7.43927E14	150
7.43813E14	296
7.437E14	437
7.43587E14	345
7.43474E14	268
7.43361E14	204
7.43248E14	181
7.43135E14	305
7.43023E14	457
7.4291E14	387
7.42797E14	336
7.42684E14	256
7.42571E14	148
7.42459E14	284
7.42346E14	427
7.42233E14	343
7.42121E14	327
7.42008E14	260
7.41896E14	325
7.41783E14	291
7.41671E14	261
7.41558E14	450
7.41446E14	359
7.41333E14	319
7.41221E14	317
7.41109E14	309
7.40997E14	247
7.40884E14	422
7.40772E14	427
7.4066E14	391
7.40548E14	256
7.40436E14	195
7.40324E14	190
7.40212E14	258
7.401E14	381
7.39988E14	332
7.39876E14	297
7.39764E14	331
7.39652E14	270
7.3954E14	242
7.39428E14	248
7.39317E14	220
7.39205E14	172
7.39093E14	249
7.38982E14	166
7.3887E14	320
7.38758E14	344
7.38647E14	304
7.38535E14	360
7.38424E14	270
7.38312E14	171
7.38201E14	265
7.3809E14	239
7.37978E14	394
7.37867E14	410
7.37756E14	332
7.37644E14	412
7.37533E14	234
7.37422E14	285
7.37311E14	461
7.372E14	402
7.37089E14	319
7.36978E14	238
7.36867E14	280
7.36756E14	204
7.36645E14	253
7.36534E14	412
7.36423E14	352
7.36312E14	257
7.36201E14	272
7.3609E14	189
7.3598E14	275
7.35869E14	427
7.35758E14	337
7.35648E14	280
7.35537E14	304
7.35426E14	126
7.35316E14	328
7.35205E14	420
7.35095E14	330
7.34984E14	296
7.34874E14	287
7.34764E14	344
7.34653E14	228
7.34543E14	342
7.34433E14	495
7.34322E14	401
7.34212E14	284
7.34102E14	184
7.33992E14	198
7.33882E14	289
7.33772E14	344
7.33661E14	338
7.33551E14	403
7.33441E14	353
7.33332E14	313
7.33222E14	162
7.33112E14	229
7.33002E14	484
7.32892E14	359
7.32782E14	354
7.32672E14	213
7.32563E14	245
7.32453E14	281
7.32343E14	414
7.32234E14	501
7.32124E14	416
7.32015E14	228
7.31905E14	171
7.31796E14	259
7.31686E14	412
7.31577E14	311
7.31467E14	244
7.31358E14	252
7.31249E14	222
7.31139E14	206
7.3103E14	385
7.30921E14	504
7.30812E14	400
7.30702E14	307
7.30593E14	352
7.30484E14	209
7.30375E14	232
7.30266E14	497
7.30157E14	423
7.30048E14	301
7.29939E14	282
7.2983E14	240
7.29721E14	147
7.29613E14	486
7.29504E14	531
7.29395E14	363
7.29286E14	312
7.29177E14	282
7.29069E14	247
7.2896E14	382
7.28852E14	554
7.28743E14	380
7.28634E14	302
7.28526E14	346
7.28417E14	198
7.28309E14	250
7.28201E14	526
7.28092E14	446
7.27984E14	344
7.27875E14	306
7.27767E14	197
7.27659E14	363
7.27551E14	319
7.27442E14	476
7.27334E14	371
7.27226E14	309
7.27118E14	327
7.2701E14	313
7.26902E14	322
7.26794E14	402
7.26686E14	379
7.26578E14	356
7.2647E14	317
7.26362E14	258
7.26254E14	209
7.26147E14	470
7.26039E14	458
7.25931E14	378
7.25823E14	227
7.25716E14	362
7.25608E14	292
7.255E14	319
7.25393E14	397
7.25285E14	380
7.25178E14	281
7.2507E14	359
7.24963E14	146
7.24855E14	301
7.24748E14	523
7.24641E14	446
7.24533E14	274
7.24426E14	348
7.24319E14	289
7.24211E14	215
7.24104E14	291
7.23997E14	514
7.2389E14	506
7.23783E14	300
7.23676E14	221
7.23569E14	231
7.23462E14	300
7.23355E14	579
7.23248E14	328
7.23141E14	295
7.23034E14	302
7.22927E14	333
7.2282E14	236
7.22713E14	350
7.22607E14	589
7.225E14	378
7.22393E14	374
7.22287E14	348
7.2218E14	334
7.22073E14	280
7.21967E14	566
7.2186E14	465
7.21754E14	395
7.21647E14	318
7.21541E14	179
7.21434E14	206
7.21328E14	430
7.21222E14	389
7.21115E14	247
7.21009E14	372
7.20903E14	294
7.20797E14	168
7.2069E14	368
7.20584E14	430
7.20478E14	470
7.20372E14	338
7.20266E14	446
7.2016E14	199
7.20054E14	379
7.19948E14	386
7.19842E14	413
7.19736E14	329
7.1963E14	281
7.19524E14	296
7.19418E14	269
7.19313E14	287
7.19207E14	415
7.19101E14	312
7.18995E14	288
7.1889E14	238
7.18784E14	160
7.18679E14	365
7.18573E14	483
7.18467E14	388
7.18362E14	259
7.18256E14	313
7.18151E14	174
7.18046E14	232
7.1794E14	394
7.17835E14	328
7.17729E14	270
7.17624E14	352
7.17519E14	311
7.17414E14	196
7.17308E14	327
7.17203E14	518
7.17098E14	372
7.16993E14	338
7.16888E14	416
7.16783E14	333
7.16678E14	370
7.16573E14	477
7.16468E14	399
7.16363E14	328
7.16258E14	313
7.16153E14	248
7.16048E14	302
7.15944E14	289
7.15839E14	516
7.15734E14	439
7.15629E14	324
7.15525E14	254
7.1542E14	190
7.15315E14	401
7.15211E14	548
7.15106E14	362
7.15002E14	371
7.14897E14	311
7.14793E14	204
7.14688E14	252
7.14584E14	461
7.1448E14	393
7.14375E14	278
7.14271E14	264
7.14167E14	271
7.14062E14	232
7.13958E14	341
7.13854E14	395
7.1375E14	320
7.13646E14	399
7.13542E14	256
7.13438E14	144
7.13334E14	246
7.1323E14	599
7.13126E14	635
7.13022E14	395
7.12918E14	337
7.12814E14	324
7.1271E14	283
7.12606E14	349
7.12502E14	430
7.12399E14	358
7.12295E14	385
7.12191E14	262
7.12087E14	197
7.11984E14	270
7.1188E14	476
7.11777E14	349
7.11673E14	276
7.11569E14	354
7.11466E14	192
7.11363E14	220
7.11259E14	465
7.11156E14	445
7.11052E14	351
7.10949E14	320
7.10846E14	270
7.10742E14	243
7.10639E14	334
7.10536E14	478
7.10433E14	342
7.1033E14	353
7.10226E14	265
7.10123E14	224
7.1002E14	350
7.09917E14	489
7.09814E14	491
7.09711E14	348
7.09608E14	374
7.09505E14	277
7.09402E14	214
7.09299E14	358
7.09197E14	541
7.09094E14	417
7.08991E14	289
7.08888E14	257
7.08786E14	281
7.08683E14	384
7.0858E14	530
7.08478E14	473
7.08375E14	358
7.08272E14	316
7.0817E14	183
7.08067E14	285
7.07965E14	457
7.07862E14	413
7.0776E14	321
7.07658E14	306
7.07555E14	292
7.07453E14	274
7.07351E14	293
7.07248E14	571
7.07146E14	330
7.07044E14	363
7.06942E14	314
7.0684E14	221
7.06737E14	283
7.06635E14	439
7.06533E14	472
7.06431E14	360
7.06329E14	255
7.06227E14	401
7.06125E14	239
7.06023E14	261
7.05922E14	481
7.0582E14	507
7.05718E14	451
7.05616E14	306
7.05514E14	269
7.05413E14	304
7.05311E14	546
7.05209E14	403
7.05107E14	325
7.05006E14	269
7.04904E14	238
7.04803E14	378
7.04701E14	553
7.046E14	471
7.04498E14	626
7.04397E14	350
7.04295E14	311
7.04194E14	325
7.04093E14	461
7.03991E14	614
7.0389E14	395
7.03789E14	341
7.03687E14	334
7.03586E14	267
7.03485E14	273
7.03384E14	520
7.03283E14	501
7.03182E14	445
7.03081E14	435
7.0298E14	270
7.02878E14	393
7.02778E14	324
7.02677E14	591
7.02576E14	417
7.02475E14	331
7.02374E14	251
7.02273E14	258
7.02172E14	320
7.02071E14	589
7.01971E14	409
7.0187E14	365
7.01769E14	368
7.01669E14	173
7.01568E14	302
7.01467E14	488
7.01367E14	425
7.01266E14	345
7.01166E14	327
7.01065E14	226
7.00965E14	282
7.00864E14	335
7.00764E14	525
7.00664E14	377
7.00563E14	316
7.00463E14	277
7.00363E14	324
7.00262E14	307
7.00162E14	532
7.00062E14	385
6.99962E14	362
6.99862E14	356
6.99761E14	297
6.99661E14	243
6.99561E14	441
6.99461E14	531
6.99361E14	365
6.99261E14	310
6.99161E14	330
6.99061E14	207
6.98962E14	350
6.98862E14	602
6.98762E14	389
6.98662E14	391
6.98562E14	468
6.98463E14	301
6.98363E14	346
6.98263E14	474
6.98163E14	453
6.98064E14	369
6.97964E14	343
6.97865E14	292
6.97765E14	367
6.97666E14	348
6.97566E14	652
6.97467E14	403
6.97367E14	348
6.97268E14	325
6.97168E14	267
6.97069E14	363
6.9697E14	534
6.9687E14	404
6.96771E14	387
6.96672E14	294
6.96573E14	566
6.96474E14	335
6.96374E14	281
6.96275E14	425
6.96176E14	340
6.96077E14	304
6.95978E14	303
6.95879E14	259
6.9578E14	407
6.95681E14	437
6.95582E14	385
6.95483E14	386
6.95384E14	286
6.95286E14	174
6.95187E14	283
6.95088E14	502
6.94989E14	379
6.9489E14	406
6.94792E14	310
6.94693E14	213
6.94594E14	279
6.94496E14	351
6.94397E14	559
6.94299E14	453
6.942E14	368
6.94102E14	393
6.94003E14	209
6.93905E14	308
6.93806E14	410
6.93708E14	414
6.9361E14	438
6.93511E14	415
6.93413E14	312
6.93315E14	259
6.93216E14	335
6.93118E14	571
6.9302E14	616
6.92922E14	427
6.92824E14	278
6.92726E14	200
6.92627E14	391
6.92529E14	712
6.92431E14	378
6.92333E14	363
6.92235E14	367
6.92137E14	159
6.92039E14	389
6.91942E14	571
6.91844E14	438
6.91746E14	409
6.91648E14	387
6.9155E14	342
6.91453E14	250
6.91355E14	324
6.91257E14	506
6.91159E14	505
6.91062E14	365
6.90964E14	337
6.90867E14	264
6.90769E14	439
6.90672E14	626
6.90574E14	401
6.90477E14	419
6.90379E14	390
6.90282E14	265
6.90184E14	290
6.90087E14	389
6.8999E14	531
6.89892E14	520
6.89795E14	336
6.89698E14	250
6.896E14	278
6.89503E14	280
6.89406E14	496
6.89309E14	505
6.89212E14	344
6.89115E14	450
6.89018E14	312
6.88921E14	381
6.88824E14	501
6.88727E14	443
6.8863E14	385
6.88533E14	432
6.88436E14	363
6.88339E14	274
6.88242E14	358
6.88145E14	540
6.88048E14	345
6.87952E14	361
6.87855E14	417
6.87758E14	268
6.87662E14	420
6.87565E14	546
6.87468E14	354
6.87372E14	322
6.87275E14	335
6.87179E14	332
6.87082E14	268
6.86986E14	338
6.86889E14	527
6.86793E14	361
6.86696E14	406
6.866E14	310
6.86503E14	200
6.86407E14	313
6.86311E14	569
6.86215E14	572
6.86118E14	480
6.86022E14	352
6.85926E14	344
6.8583E14	318
6.85734E14	637
6.85637E14	502
6.85541E14	393
6.85445E14	383
6.85349E14	337
6.85253E14	256
6.85157E14	250
6.85061E14	504
6.84965E14	453
6.84869E14	467
6.84774E14	350
6.84678E14	371
6.84582E14	324
6.84486E14	518
6.8439E14	482
6.84295E14	334
6.84199E14	300
6.84103E14	276
6.84008E14	254
6.83912E14	421
6.83816E14	602
6.83721E14	574
6.83625E14	360
6.8353E14	327
6.83434E14	313
6.83339E14	386
6.83243E14	472
6.83148E14	466
6.83052E14	356
6.82957E14	420
6.82862E14	260
6.82766E14	334
6.82671E14	601
6.82576E14	471
6.82481E14	401
6.82385E14	420
6.8229E14	319
6.82195E14	219
6.821E14	302
6.82005E14	536
6.8191E14	459
6.81815E14	351
6.8172E14	274
6.81625E14	290
6.8153E14	417
6.81435E14	575
6.8134E14	519
6.81245E14	417
6.8115E14	433
6.81055E14	395
6.8096E14	319
6.80866E14	314
6.80771E14	502
6.80676E14	535
6.80581E14	416
6.80487E14	349
6.80392E14	210
6.80298E14	347
6.80203E14	640
6.80108E14	417
6.80014E14	466
6.79919E14	409
6.79825E14	263
6.7973E14	286
6.79636E14	750
6.79541E14	464
6.79447E14	320
6.79353E14	302
6.79258E14	342
6.79164E14	342
6.7907E14	349
6.78976E14	515
6.78881E14	397
6.78787E14	325
6.78693E14	376
6.78599E14	237
