Tensao [V];Corrente [A]
-5;-4,456365E-10
-4,95;-4,215372E-10
-4,9;-4,012831E-10
-4,85;-3,848937E-10
-4,8;-3,698457E-10
-4,75;-3,557654E-10
-4,7;-3,435857E-10
-4,65;-3,315231E-10
-4,6;-3,203353E-10
-4,55;-3,080779E-10
-4,5;-2,967151E-10
-4,45;-2,843911E-10
-4,4;-2,745808E-10
-4,35;-2,64694E-10
-4,3;-2,563643E-10
-4,25;-2,442548E-10
-4,2;-2,341783E-10
-4,15;-2,238417E-10
-4,1;-2,133451E-10
-4,05;-2,021312E-10
-4;-1,923232E-10
-3,95;-1,808064E-10
-3,9;-1,72509E-10
-3,85;-1,595382E-10
-3,8;-1,526068E-10
-3,75;-1,411566E-10
-3,7;-1,301979E-10
-3,65;-1,184568E-10
-3,6;-1,082866E-10
-3,55;-9,815217E-11
-3,5;-8,90488E-11
-3,45;-7,852868E-11
-3,4;-6,895718E-11
-3,35;-5,926499E-11
-3,3;-4,836784E-11
-3,25;-3,688059E-11
-3,2;-2,92643E-11
-3,15;-1,75405E-11
-3,1;-6,961235E-12
-3,05;5,410768E-12
-3;1,67197E-11
-2,95;2,550051E-11
-2,9;3,612075E-11
-2,85;4,700096E-11
-2,8;5,78984E-11
-2,75;6,695762E-11
-2,7;8,219318E-11
-2,65;9,145322E-11
-2,6;1,044648E-10
-2,55;1,141684E-10
-2,5;1,262314E-10
-2,45;1,368848E-10
-2,4;1,504706E-10
-2,35;1,623006E-10
-2,3;1,764152E-10
-2,25;1,907045E-10
-2,2;2,035263E-10
-2,15;2,143755E-10
-2,1;2,264103E-10
-2,05;2,390055E-10
-2;2,528945E-10
-1,95;2,666109E-10
-1,9;2,814789E-10
-1,85;2,945892E-10
-1,8;3,084459E-10
-1,75;3,227945E-10
-1,7;3,354759E-10
-1,65;3,504637E-10
-1,6;3,66287E-10
-1,55;3,801462E-10
-1,5;3,980148E-10
-1,45;4,12612E-10
-1,4;4,256998E-10
-1,35;4,413505E-10
-1,3;4,578684E-10
-1,25;4,752518E-10
-1,2;4,909638E-10
-1,15;5,075447E-10
-1,1;5,243434E-10
-1,05;5,429328E-10
-1;5,619184E-10
-0,95;5,811902E-10
-0,9;5,99771E-10
-0,85;6,181229E-10
-0,8;6,396751E-10
-0,75;6,60508E-10
-0,7;6,823709E-10
-0,65;7,078609E-10
-0,6;7,327158E-10
-0,55;7,679581E-10
-0,5;8,143286E-10
-0,45;8,827359E-10
-0,4;9,96475E-10
-0,35;1,176028E-09
-0,3;1,433097E-09
-0,25;1,794844E-09
-0,2;2,541278E-09
-0,15;3,062258E-09
-0,1;4,042472E-09
-0,05;5,284893E-09
0;6,911209E-09
0,05;8,082803E-09
0,1;9,482168E-09
0,15;1,101361E-08
0,2;1,26163E-08
0,25;1,416533E-08
0,3;1,564885E-08
0,35;1,71916E-08
0,4;1,876966E-08
0,45;2,094777E-08
0,5;2,242641E-08
0,55;2,387617E-08
0,6;2,533331E-08
0,65;2,678418E-08
0,7;2,825039E-08
0,75;2,96764E-08
0,8;3,114072E-08
0,85;3,262351E-08
0,9;3,409989E-08
0,95;3,55298E-08
1;3,701735E-08
1,05;3,843367E-08
1,1;3,985777E-08
1,15;4,125877E-08
1,2;4,266077E-08
1,25;4,40231E-08
1,3;4,535447E-08
1,35;4,663308E-08
1,4;4,790928E-08
1,45;4,91805E-08
1,5;5,042932E-08
1,55;5,166772E-08
1,6;5,284796E-08
1,65;5,404788E-08
1,7;5,519596E-08
1,75;5,635522E-08
1,8;5,751154E-08
1,85;5,863173E-08
1,9;5,97573E-08
1,95;6,08262E-08
2;6,192768E-08
2,05;6,296894E-08
2,1;6,404547E-08
2,15;6,506075E-08
2,2;6,612324E-08
2,25;6,710746E-08
2,3;6,814189E-08
2,35;6,91518E-08
2,4;7,013095E-08
2,45;7,107607E-08
2,5;7,202913E-08
2,55;7,295068E-08
2,6;7,391321E-08
2,65;7,48289E-08
2,7;7,573923E-08
2,75;7,662015E-08
2,8;7,74759E-08
2,85;7,835354E-08
2,9;7,921029E-08
2,95;8,004224E-08
3;8,081895E-08
3,05;8,157864E-08
3,1;8,235163E-08
3,15;8,311989E-08
3,2;8,386443E-08
3,25;8,455318E-08
3,3;8,525212E-08
3,35;8,595139E-08
3,4;8,663459E-08
3,45;8,727923E-08
3,5;8,79572E-08
3,55;8,861729E-08
3,6;8,926261E-08
3,65;8,99087E-08
3,7;9,050443E-08
3,75;9,115377E-08
3,8;9,175967E-08
3,85;9,23691E-08
3,9;9,296304E-08
3,95;9,357771E-08
4;9,420918E-08
4,05;9,482023E-08
4,1;9,542678E-08
4,15;9,598355E-08
4,2;9,657541E-08
4,25;9,715887E-08
4,3;9,771934E-08
4,35;9,829246E-08
4,4;9,883626E-08
4,45;9,944741E-08
4,5;9,997868E-08
4,55;1,005423E-07
4,6;1,010869E-07
4,65;1,016655E-07
4,7;1,021865E-07
4,75;1,027701E-07
4,8;1,033017E-07
4,85;1,037573E-07
4,9;1,043194E-07
4,95;1,047907E-07
5;1,053511E-07
