Tensao [V];Corrente [A]
-5;-9,552645E-11
-4,95;-8,793558E-11
-4,9;-8,40582E-11
-4,85;-8,174929E-11
-4,8;-7,945384E-11
-4,75;-7,735072E-11
-4,7;-7,562086E-11
-4,65;-7,43814E-11
-4,6;-7,281913E-11
-4,55;-7,090813E-11
-4,5;-6,998158E-11
-4,45;-6,900827E-11
-4,4;-6,774786E-11
-4,35;-6,613871E-11
-4,3;-6,437931E-11
-4,25;-6,379654E-11
-4,2;-6,281088E-11
-4,15;-6,14962E-11
-4,1;-6,000174E-11
-4,05;-5,915651E-11
-4;-5,753506E-11
-3,95;-5,489963E-11
-3,9;-5,345441E-11
-3,85;-5,289136E-11
-3,8;-5,239725E-11
-3,75;-5,033601E-11
-3,7;-4,857535E-11
-3,65;-4,801104E-11
-3,6;-4,724102E-11
-3,55;-4,611857E-11
-3,5;-4,496167E-11
-3,45;-4,45797E-11
-3,4;-4,38392E-11
-3,35;-4,193071E-11
-3,3;-4,056558E-11
-3,25;-4,019841E-11
-3,2;-3,933839E-11
-3,15;-3,760116E-11
-3,1;-3,603394E-11
-3,05;-3,560764E-11
-3;-3,512591E-11
-2,95;-3,336772E-11
-2,9;-3,201736E-11
-2,85;-3,113641E-11
-2,8;-3,043288E-11
-2,75;-2,906405E-11
-2,7;-2,765208E-11
-2,65;-2,763729E-11
-2,6;-2,721962E-11
-2,55;-2,553658E-11
-2,5;-2,389789E-11
-2,45;-2,317346E-11
-2,4;-2,241325E-11
-2,35;-2,095939E-11
-2,3;-1,924309E-11
-2,25;-1,906814E-11
-2,2;-1,844469E-11
-2,15;-1,693046E-11
-2,1;-1,546428E-11
-2,05;-1,493941E-11
-2;-1,447123E-11
-1,95;-1,225963E-11
-1,9;-1,10337E-11
-1,85;-1,048789E-11
-1,8;-9,539184E-12
-1,75;-8,148157E-12
-1,7;-6,32837E-12
-1,65;-6,301262E-12
-1,6;-6,021581E-12
-1,55;-4,747607E-12
-1,5;-3,372596E-12
-1,45;-2,988185E-12
-1,4;-2,234148E-12
-1,35;-1,987456E-13
-1,3;1,357419E-12
-1,25;1,720894E-12
-1,2;2,016604E-12
-1,15;3,331279E-12
-1,1;4,8665E-12
-1,05;5,199176E-12
-1;5,804144E-12
-0,95;7,561153E-12
-0,9;8,688539E-12
-0,85;9,199871E-12
-0,8;9,552259E-12
-0,75;1,148546E-11
-0,7;1,325478E-11
-0,65;1,361456E-11
-0,6;1,382156E-11
-0,55;1,529889E-11
-0,5;1,679343E-11
-0,45;1,722961E-11
-0,4;1,730231E-11
-0,35;1,873157E-11
-0,3;2,023475E-11
-0,25;2,042696E-11
-0,2;2,110957E-11
-0,15;2,295281E-11
-0,1;2,527044E-11
-0,05;2,517063E-11
0;2,569184E-11
0,05;2,490328E-11
0,1;2,572878E-11
0,15;2,747593E-11
0,2;2,793181E-11
0,25;2,781598E-11
0,3;2,878937E-11
0,35;2,974179E-11
0,4;3,058828E-11
0,45;3,046627E-11
0,5;3,189554E-11
0,55;3,418481E-11
0,6;3,460499E-11
0,65;3,492411E-11
0,7;3,551922E-11
0,75;3,6898E-11
0,8;3,808205E-11
0,85;3,78652E-11
0,9;3,924394E-11
0,95;4,106377E-11
1;4,1909E-11
1,05;4,21468E-11
1,1;4,303147E-11
1,15;4,463692E-11
1,2;4,563989E-11
1,25;4,586905E-11
1,3;4,651838E-11
1,35;4,286268E-11
1,4;4,728225E-11
1,45;4,84602E-11
1,5;4,985494E-11
1,55;5,124109E-11
1,6;5,24079E-11
1,65;5,279235E-11
1,7;5,381743E-11
1,75;5,562374E-11
1,8;5,683122E-11
1,85;5,72908E-11
1,9;5,812003E-11
1,95;5,929424E-11
2;6,041053E-11
2,05;6,081837E-11
2,1;6,277009E-11
2,15;6,36313E-11
2,2;6,528107E-11
2,25;6,482155E-11
2,3;6,572715E-11
2,35;6,695434E-11
2,4;6,819874E-11
2,45;6,866575E-11
2,5;6,899474E-11
2,55;7,073571E-11
2,6;7,198014E-11
2,65;7,267136E-11
2,7;7,30829E-11
2,75;7,455038E-11
2,8;7,54917E-11
2,85;7,562106E-11
2,9;7,594141E-11
2,95;7,765408E-11
3;7,873711E-11
3,05;7,970558E-11
3,1;8,020955E-11
3,15;8,206265E-11
3,2;8,295589E-11
3,25;8,344016E-11
3,3;8,372351E-11
3,35;8,525872E-11
3,4;8,673601E-11
3,45;8,733855E-11
3,5;8,792748E-11
3,55;8,960192E-11
3,6;9,070219E-11
3,65;9,134418E-11
3,7;9,174708E-11
3,75;9,268599E-11
3,8;9,465616E-11
3,85;9,534241E-11
3,9;9,592763E-11
3,95;9,722015E-11
4;9,83993E-11
4,05;9,899562E-11
4,1;9,939108E-11
4,15;1,007686E-10
4,2;1,025109E-10
4,25;1,030739E-10
4,3;1,032723E-10
4,35;1,046129E-10
4,4;1,060348E-10
4,45;1,064611E-10
4,5;1,068886E-10
4,55;1,075047E-10
4,6;1,092728E-10
4,65;1,105714E-10
4,7;1,109645E-10
4,75;1,119095E-10
4,8;1,129531E-10
4,85;1,139438E-10
4,9;1,143898E-10
4,95;1,152769E-10
5;1,169722E-10
