Tensao [V];Corrente [A]
-5;-1,019781E-09
-4,95;-9,881603E-10
-4,9;-9,636141E-10
-4,85;-9,38428E-10
-4,8;-9,175292E-10
-4,75;-9,01474E-10
-4,7;-8,886785E-10
-4,65;-8,74999E-10
-4,6;-8,563784E-10
-4,55;-8,46577E-10
-4,5;-8,329679E-10
-4,45;-8,219337E-10
-4,4;-8,071029E-10
-4,35;-7,960826E-10
-4,3;-7,842184E-10
-4,25;-7,711123E-10
-4,2;-7,572469E-10
-4,15;-7,451782E-10
-4,1;-7,345923E-10
-4,05;-7,22525E-10
-4;-7,111338E-10
-3,95;-6,981767E-10
-3,9;-6,902856E-10
-3,85;-6,793237E-10
-3,8;-6,624301E-10
-3,75;-6,505722E-10
-3,7;-6,399508E-10
-3,65;-6,291271E-10
-3,6;-6,163073E-10
-3,55;-6,040052E-10
-3,5;-5,982089E-10
-3,45;-5,880155E-10
-3,4;-5,721681E-10
-3,35;-5,564795E-10
-3,3;-5,485946E-10
-3,25;-5,365909E-10
-3,2;-5,230897E-10
-3,15;-5,088581E-10
-3,1;-4,956744E-10
-3,05;-4,807833E-10
-3;-4,641341E-10
-2,95;-4,469967E-10
-2,9;-4,335309E-10
-2,85;-4,145E-10
-2,8;-3,951439E-10
-2,75;-3,741515E-10
-2,7;-3,567257E-10
-2,65;-3,367943E-10
-2,6;-3,097148E-10
-2,55;-2,805114E-10
-2,5;-2,529213E-10
-2,45;-2,217576E-10
-2,4;-1,910771E-10
-2,35;-1,574072E-10
-2,3;-1,335185E-10
-2,25;-9,754615E-11
-2,2;-5,998091E-11
-2,15;-1,957952E-11
-2,1;2,161961E-11
-2,05;6,862966E-11
-2;1,147157E-10
-1,95;1,576822E-10
-1,9;2,018721E-10
-1,85;2,463924E-10
-1,8;2,908346E-10
-1,75;3,403088E-10
-1,7;3,867791E-10
-1,65;4,356658E-10
-1,6;4,867026E-10
-1,55;5,420789E-10
-1,5;5,979943E-10
-1,45;6,594222E-10
-1,4;7,219532E-10
-1,35;7,950188E-10
-1,3;8,723085E-10
-1,25;9,600903E-10
-1,2;1,064142E-09
-1,15;1,190791E-09
-1,1;1,335624E-09
-1,05;1,519168E-09
-1;1,743928E-09
-0,95;2,044466E-09
-0,9;2,634023E-09
-0,85;3,023349E-09
-0,8;3,873146E-09
-0,75;5,208029E-09
-0,7;7,297202E-09
-0,65;1,057877E-08
-0,6;1,568108E-08
-0,55;2,780653E-08
-0,5;4,182257E-08
-0,45;6,092803E-08
-0,4;8,530584E-08
-0,35;1,144901E-07
-0,3;1,476648E-07
-0,25;1,847615E-07
-0,2;2,256264E-07
-0,15;2,696518E-07
-0,1;3,156122E-07
-0,05;3,628723E-07
0;4,117281E-07
0,05;4,612634E-07
0,1;5,118864E-07
0,15;5,636829E-07
0,2;6,166796E-07
0,25;6,708877E-07
0,3;7,264437E-07
0,35;7,834103E-07
0,4;8,419044E-07
0,45;9,017474E-07
0,5;9,630556E-07
0,55;1,025857E-06
0,6;1,090146E-06
0,65;1,155846E-06
0,7;1,223161E-06
0,75;1,291663E-06
0,8;1,361418E-06
0,85;1,43227E-06
0,9;1,503907E-06
0,95;1,57629E-06
1;1,649154E-06
1,05;1,722152E-06
1,1;1,794961E-06
1,15;1,867451E-06
1,2;1,939268E-06
1,25;2,010431E-06
1,3;2,080581E-06
1,35;2,150152E-06
1,4;2,219278E-06
1,45;2,287239E-06
1,5;2,35402E-06
1,55;2,419965E-06
1,6;2,484666E-06
1,65;2,547765E-06
1,7;2,609712E-06
1,75;2,670619E-06
1,8;2,730157E-06
1,85;2,788582E-06
1,9;2,846155E-06
1,95;2,902565E-06
2;2,957883E-06
2,05;3,01216E-06
2,1;3,065648E-06
2,15;3,117859E-06
2,2;3,169305E-06
2,25;3,219698E-06
2,3;3,269193E-06
2,35;3,317491E-06
2,4;3,365254E-06
2,45;3,411929E-06
2,5;3,457436E-06
2,55;3,502329E-06
2,6;3,546195E-06
2,65;3,589097E-06
2,7;3,630731E-06
2,75;3,671514E-06
2,8;3,711222E-06
2,85;3,749573E-06
2,9;3,786937E-06
2,95;3,823237E-06
3;3,858119E-06
3,05;3,892183E-06
3,1;3,925326E-06
3,15;3,957477E-06
3,2;3,988687E-06
3,25;4,019171E-06
3,3;4,049304E-06
3,35;4,078689E-06
3,4;4,107366E-06
3,45;4,135811E-06
3,5;4,163815E-06
3,55;4,19169E-06
3,6;4,219332E-06
3,65;4,24647E-06
3,7;4,273548E-06
3,75;4,300436E-06
3,8;4,327313E-06
3,85;4,353989E-06
3,9;4,380263E-06
3,95;4,406524E-06
4;4,432473E-06
4,05;4,458459E-06
4,1;4,483858E-06
4,15;4,509468E-06
4,2;4,534737E-06
4,25;4,559872E-06
4,3;4,584932E-06
4,35;4,609442E-06
4,4;4,633885E-06
4,45;4,658269E-06
4,5;4,682136E-06
4,55;4,705691E-06
4,6;4,729124E-06
4,65;4,752063E-06
4,7;4,774817E-06
4,75;4,797281E-06
4,8;4,819248E-06
4,85;4,840723E-06
4,9;4,861898E-06
4,95;4,882785E-06
5;4,903432E-06
