Tensao [V];Corrente [A]
-5;-2,037521E-10
-4,95;-1,786179E-10
-4,9;-1,589428E-10
-4,85;-1,426077E-10
-4,8;-1,262108E-10
-4,75;-1,133474E-10
-4,7;-1,034582E-10
-4,65;-9,503865E-11
-4,6;-8,439657E-11
-4,55;-7,612733E-11
-4,5;-6,685892E-11
-4,45;-5,897901E-11
-4,4;-5,002603E-11
-4,35;-4,200319E-11
-4,3;-3,258942E-11
-4,25;-2,339989E-11
-4,2;-1,425839E-11
-4,15;-4,731289E-12
-4,1;3,053853E-12
-4,05;1,101778E-11
-4;1,935131E-11
-3,95;2,786599E-11
-3,9;3,460153E-11
-3,85;4,152565E-11
-3,8;4,933801E-11
-3,75;5,74904E-11
-3,7;6,604578E-11
-3,65;7,303267E-11
-3,6;8,169145E-11
-3,55;8,885825E-11
-3,5;9,547432E-11
-3,45;1,029109E-10
-3,4;1,114281E-10
-3,35;1,189387E-10
-3,3;1,256446E-10
-3,25;1,324344E-10
-3,2;1,426493E-10
-3,15;1,517146E-10
-3,1;1,591845E-10
-3,05;1,650207E-10
-3;1,73464E-10
-2,95;1,830936E-10
-2,9;1,933406E-10
-2,85;2,004715E-10
-2,8;2,083579E-10
-2,75;2,165657E-10
-2,7;2,234405E-10
-2,65;2,320549E-10
-2,6;2,407865E-10
-2,55;2,500996E-10
-2,5;2,581472E-10
-2,45;2,658882E-10
-2,4;2,729537E-10
-2,35;2,816004E-10
-2,3;2,897761E-10
-2,25;2,984609E-10
-2,2;3,059887E-10
-2,15;3,156702E-10
-2,1;3,200622E-10
-2,05;3,323114E-10
-2;3,42473E-10
-1,95;3,549071E-10
-1,9;3,619002E-10
-1,85;3,699712E-10
-1,8;3,785143E-10
-1,75;3,889472E-10
-1,7;4,00156E-10
-1,65;4,095235E-10
-1,6;4,185003E-10
-1,55;4,299112E-10
-1,5;4,379195E-10
-1,45;4,46008E-10
-1,4;4,56415E-10
-1,35;4,676093E-10
-1,3;4,778145E-10
-1,25;4,869549E-10
-1,2;4,952255E-10
-1,15;5,051128E-10
-1,1;5,135931E-10
-1,05;5,240517E-10
-1;5,349147E-10
-0,95;5,464593E-10
-0,9;5,585774E-10
-0,85;5,688932E-10
-0,8;5,785757E-10
-0,75;5,92136E-10
-0,7;6,047136E-10
-0,65;6,170366E-10
-0,6;6,29039E-10
-0,55;6,423373E-10
-0,5;6,590568E-10
-0,45;6,757169E-10
-0,4;6,989909E-10
-0,35;7,369905E-10
-0,3;8,002968E-10
-0,25;8,933989E-10
-0,2;1,039979E-09
-0,15;1,292177E-09
-0,1;1,741812E-09
-0,05;2,507377E-09
0;3,228379E-09
0,05;3,886343E-09
0,1;4,644588E-09
0,15;5,403304E-09
0,2;6,216311E-09
0,25;7,066918E-09
0,3;7,810653E-09
0,35;8,514519E-09
0,4;9,236578E-09
0,45;9,965301E-09
0,5;1,063349E-08
0,55;1,126332E-08
0,6;1,192315E-08
0,65;1,260604E-08
0,7;1,326014E-08
0,75;1,388107E-08
0,8;1,453101E-08
0,85;1,521935E-08
0,9;1,589493E-08
0,95;1,654277E-08
1;1,721848E-08
1,05;1,792913E-08
1,1;1,862806E-08
1,15;1,929396E-08
1,2;1,99615E-08
1,25;2,096494E-08
1,3;2,161881E-08
1,35;2,227571E-08
1,4;2,295749E-08
1,45;2,359188E-08
1,5;2,420946E-08
1,55;2,484461E-08
1,6;2,552753E-08
1,65;2,612949E-08
1,7;2,671891E-08
1,75;2,733828E-08
1,8;2,800606E-08
1,85;2,858696E-08
1,9;2,911407E-08
1,95;2,968237E-08
2;3,02366E-08
2,05;3,081648E-08
2,1;3,130903E-08
2,15;3,18183E-08
2,2;3,236111E-08
2,25;3,292136E-08
2,3;3,337761E-08
2,35;3,385971E-08
2,4;3,435991E-08
2,45;3,490259E-08
2,5;3,53337E-08
2,55;3,577937E-08
2,6;3,624996E-08
2,65;3,672529E-08
2,7;3,714846E-08
2,75;3,754941E-08
2,8;3,798086E-08
2,85;3,846538E-08
2,9;3,884974E-08
2,95;3,920823E-08
3;3,959423E-08
3,05;4,004932E-08
3,1;4,044476E-08
3,15;4,072243E-08
3,2;4,105314E-08
3,25;4,141676E-08
3,3;4,178467E-08
3,35;4,206498E-08
3,4;4,236544E-08
3,45;4,269877E-08
3,5;4,303389E-08
3,55;4,328994E-08
3,6;4,356889E-08
3,65;4,386842E-08
3,7;4,420355E-08
3,75;4,445098E-08
3,8;4,469774E-08
3,85;4,497933E-08
3,9;4,532687E-08
3,95;4,557828E-08
4;4,579688E-08
4,05;4,606577E-08
4,1;4,637489E-08
4,15;4,663887E-08
4,2;4,686821E-08
4,25;4,70945E-08
4,3;4,744126E-08
4,35;4,772183E-08
4,4;4,79156E-08
4,45;4,8135E-08
4,5;4,842058E-08
4,55;4,867954E-08
4,6;4,888989E-08
4,65;4,910666E-08
4,7;4,937426E-08
4,75;4,964656E-08
4,8;4,984329E-08
4,85;5,004211E-08
4,9;5,028888E-08
4,95;5,056652E-08
5;5,07416E-08
