Tensao [V];Corrente [A]
-5;-1,21118E-09
-4,95;-1,174366E-09
-4,9;-1,150273E-09
-4,85;-1,125486E-09
-4,8;-1,105589E-09
-4,75;-1,087757E-09
-4,7;-1,072177E-09
-4,65;-1,058103E-09
-4,6;-1,043252E-09
-4,55;-1,029541E-09
-4,5;-1,014789E-09
-4,45;-1,002133E-09
-4,4;-9,88969E-10
-4,35;-9,801687E-10
-4,3;-1,002652E-09
-4,25;-9,932026E-10
-4,2;-9,970119E-10
-4,15;-9,895207E-10
-4,1;-9,652883E-10
-4,05;-9,245602E-10
-4;-9,019778E-10
-3,95;-8,785356E-10
-3,9;-8,534918E-10
-3,85;-8,330941E-10
-3,8;-8,18261E-10
-3,75;-8,029272E-10
-3,7;-7,846013E-10
-3,65;-7,658777E-10
-3,6;-7,5087E-10
-3,55;-7,310185E-10
-3,5;-7,104025E-10
-3,45;-6,899079E-10
-3,4;-6,723442E-10
-3,35;-6,551351E-10
-3,3;-6,399368E-10
-3,25;-6,196192E-10
-3,2;-5,995627E-10
-3,15;-5,847763E-10
-3,1;-5,710487E-10
-3,05;-5,541021E-10
-3;-5,367413E-10
-2,95;-5,208792E-10
-2,9;-5,11948E-10
-2,85;-4,936894E-10
-2,8;-4,711173E-10
-2,75;-4,472666E-10
-2,7;-4,251772E-10
-2,65;-4,038374E-10
-2,6;-3,890678E-10
-2,55;-3,682435E-10
-2,5;-3,479396E-10
-2,45;-3,270964E-10
-2,4;-3,095905E-10
-2,35;-2,933202E-10
-2,3;-2,660666E-10
-2,25;-2,385539E-10
-2,2;-2,151491E-10
-2,15;-1,770569E-10
-2,1;-1,413786E-10
-2,05;-1,03358E-10
-2;-5,861554E-11
-1,95;-1,362543E-11
-1,9;3,926565E-11
-1,85;1,009012E-10
-1,8;1,704637E-10
-1,75;2,447651E-10
-1,7;3,291839E-10
-1,65;4,213943E-10
-1,6;5,199486E-10
-1,55;6,339287E-10
-1,5;7,67602E-10
-1,45;9,412954E-10
-1,4;1,153474E-09
-1,35;1,428133E-09
-1,3;1,80256E-09
-1,25;2,501812E-09
-1,2;2,959484E-09
-1,15;3,804897E-09
-1,1;4,909697E-09
-1,05;6,298789E-09
-1;8,028558E-09
-0,95;1,013829E-08
-0,9;1,265903E-08
-0,85;1,564273E-08
-0,8;1,916739E-08
-0,75;2,53417E-08
-0,7;3,027004E-08
-0,65;3,582991E-08
-0,6;4,22022E-08
-0,55;4,956908E-08
-0,5;5,810787E-08
-0,45;6,808791E-08
-0,4;7,970039E-08
-0,35;9,2913E-08
-0,3;1,075968E-07
-0,25;1,2379E-07
-0,2;1,413656E-07
-0,15;1,600669E-07
-0,1;1,796246E-07
-0,05;1,999249E-07
0;2,211562E-07
0,05;2,430792E-07
0,1;2,656582E-07
0,15;2,889077E-07
0,2;3,129049E-07
0,25;3,376081E-07
0,3;3,629629E-07
0,35;3,889481E-07
0,4;4,156571E-07
0,45;4,430384E-07
0,5;4,709097E-07
0,55;4,991741E-07
0,6;5,277766E-07
0,65;5,566498E-07
0,7;5,857625E-07
0,75;6,146986E-07
0,8;6,436392E-07
0,85;6,72507E-07
0,9;7,010476E-07
0,95;7,29201E-07
1;7,56911E-07
1,05;7,842964E-07
1,1;8,112632E-07
1,15;8,377263E-07
1,2;8,638217E-07
1,25;8,89542E-07
1,3;9,148745E-07
1,35;9,395716E-07
1,4;9,638345E-07
1,45;9,875384E-07
1,5;1,010758E-06
1,55;1,033347E-06
1,6;1,055441E-06
1,65;1,077102E-06
1,7;1,098501E-06
1,75;1,119369E-06
1,8;1,139792E-06
1,85;1,159985E-06
1,9;1,179925E-06
1,95;1,199462E-06
2;1,21864E-06
2,05;1,237615E-06
2,1;1,256557E-06
2,15;1,275116E-06
2,2;1,293277E-06
2,25;1,311288E-06
2,3;1,329166E-06
2,35;1,346776E-06
2,4;1,364102E-06
2,45;1,381097E-06
2,5;1,397917E-06
2,55;1,414554E-06
2,6;1,430687E-06
2,65;1,446505E-06
2,7;1,462076E-06
2,75;1,477418E-06
2,8;1,492343E-06
2,85;1,506915E-06
2,9;1,521348E-06
2,95;1,535475E-06
3;1,549135E-06
3,05;1,562526E-06
3,1;1,57588E-06
3,15;1,589045E-06
3,2;1,602023E-06
3,25;1,614657E-06
3,3;1,627331E-06
3,35;1,640169E-06
3,4;1,652706E-06
3,45;1,665142E-06
3,5;1,677716E-06
3,55;1,6903E-06
3,6;1,702863E-06
3,65;1,715294E-06
3,7;1,727661E-06
3,75;1,740309E-06
3,8;1,752895E-06
3,85;1,765257E-06
3,9;1,777619E-06
3,95;1,790098E-06
4;1,802551E-06
4,05;1,814807E-06
4,1;1,827066E-06
4,15;1,839342E-06
4,2;1,851742E-06
4,25;1,863764E-06
4,3;1,875689E-06
4,35;1,887594E-06
4,4;1,899577E-06
4,45;1,911298E-06
4,5;1,922805E-06
4,55;1,934295E-06
4,6;1,94578E-06
4,65;1,957047E-06
4,7;1,968055E-06
4,75;1,978942E-06
4,8;1,989884E-06
4,85;2,000574E-06
4,9;2,011123E-06
4,95;2,021568E-06
5;2,031901E-06
