,Tensao,Ruido,sRuido,Violeta_20,sVioleta_20,Violeta_40,sVioleta_40,Violeta_60,sVioleta_60,Violeta_80,sVioleta_80,Violeta_100,sVioleta_100,Azul_20,sAzul_20,Azul_40,sAzul_40,Azul_60,sAzul_60,Azul_80,sAzul_80,Azul_100,sAzul_100,Verde_20,sVerde_20,Verde_40,sVerde_40,Verde_60,sVerde_60,Verde_80,sVerde_80,Verde_100,sVerde_100,Laranja_20,sLaranja_20,Laranja_40,sLaranja_40,Laranja_60,sLaranja_60,Laranja_80,sLaranja_80,Laranja_100,sLaranja_100,Vermelho_20,sVermelho_20,Vermelho_40,sVermelho_40,Vermelho_60,sVermelho_60,Vermelho_80,sVermelho_80,Vermelho_100,sVermelho_100
0,-5.0,-9.4749352e-11,1.922878347571681e-13,-8.696602600000001e-10,1.3183686370814498e-12,-1.2096860999999998e-09,2.7207483178346347e-12,-1.3158678999999999e-09,3.2591026109958464e-12,-1.4211292000000002e-09,6.594142990260372e-12,-1.5015032222222225e-09,1.502255199342179e-12,-1.0232805e-09,2.101346612294128e-12,-1.2912303e-09,1.915170963908973e-12,-1.4115118e-09,1.8295160988633042e-12,-1.55268e-09,7.64455754115306e-13,-1.647097e-09,1.4391656263265801e-12,-8.589756499999999e-10,1.4784223254706367e-12,-9.359279999999999e-10,1.4122492086738806e-12,-9.619096799999999e-10,1.3275344854880416e-12,-9.9837171e-10,2.9920756673737375e-12,-1.0219186e-09,1.5398710348597459e-12,-2.4474952e-10,1.0061783993286676e-11,-3.940537e-10,5.2061442118327874e-12,-4.3067877999999995e-10,3.3184946031838e-12,-4.5649975000000005e-10,4.177132144240829e-12,-4.5438888e-10,3.17875826894088e-12,-1.1597112000000001e-10,1.0461672959172064e-11,-2.031969e-10,2.3007147512892592e-12,-2.3042653e-10,2.5621674849256055e-12,-4.3204688e-10,1.3184722885825105e-12,-4.493576399999999e-10,1.5801549280497752e-12
1,-4.95,-8.7637268e-11,1.0721777120235194e-13,-8.3619144e-10,6.654063125940391e-13,-1.1772178000000001e-09,4.172857962595899e-12,-1.2807775999999999e-09,3.485449549771153e-12,-1.3857386e-09,6.418680378707122e-12,-1.4655098888888888e-09,1.9436549959316008e-12,-9.9017933e-10,2.1501388268225835e-12,-1.2571047e-09,1.7467794311246e-12,-1.3767778e-09,1.7463053215288587e-12,-1.5189274999999999e-09,5.678750434734624e-13,-1.6129903e-09,1.1460162306878484e-12,-8.231242800000001e-10,1.296254549214772e-12,-9.004759200000001e-10,1.4618572989043739e-12,-9.246280699999999e-10,1.4388200344761657e-12,-9.6288713e-10,2.830866327153227e-12,-9.8629636e-10,1.3044010003215947e-12,-2.2043851000000002e-10,1.0262469299544333e-11,-3.6826852000000004e-10,4.85495136055553e-12,-4.0633140999999996e-10,3.2170744238034023e-12,-4.3107212e-10,4.034594527255496e-12,-4.2975067999999997e-10,3.2203567527154526e-12,-9.2129441e-11,9.994388380096148e-12,-1.7920077999999997e-10,2.1392050086328806e-12,-2.060796e-10,2.2981561716732845e-12,-4.0479218e-10,1.5236108777374895e-12,-4.219792600000001e-10,1.3122998794635321e-12
2,-4.9,-8.3901457e-11,7.05483187049838e-14,-8.0865278e-10,6.451362562745927e-13,-1.1493326999999998e-09,2.989502149355302e-12,-1.2532842e-09,3.5145169420561933e-12,-1.3586892000000001e-09,6.26951881853784e-12,-1.4389690000000001e-09,1.7351277762747086e-12,-9.6443579e-10,2.1719671530412164e-12,-1.2315729999999998e-09,1.6966428203956239e-12,-1.3511094e-09,1.8224194533641374e-12,-1.4938581999999999e-09,1.3948726020680157e-12,-1.5869553000000002e-09,1.0789342153254775e-12,-7.9496203e-10,1.2910318364045126e-12,-8.729516599999999e-10,1.5277553650503153e-12,-8.9653031e-10,1.219092872791072e-12,-9.3571215e-10,3.228484255970597e-12,-9.602726499999998e-10,1.2321517147859713e-12,-2.023058e-10,1.0216428457068545e-11,-3.4765302000000005e-10,4.963114259248923e-12,-3.861509799999999e-10,3.0309668885951235e-12,-4.0972446999999996e-10,3.4913172075034956e-12,-4.0938063000000005e-10,3.3171485143131603e-12,-7.055846910000001e-11,9.307528868752378e-12,-1.5927277e-10,2.0369100414623115e-12,-1.8626769e-10,2.1334994995757556e-12,-3.8439713e-10,1.552830432278426e-12,-4.00358e-10,1.1595648557109706e-12
3,-4.85,-8.1190761e-11,1.271059127298966e-13,-7.8642996e-10,9.087978745793811e-13,-1.1265575e-09,3.1319178605129553e-12,-1.2334824000000001e-09,5.310155177016969e-12,-1.3374412e-09,6.113769480116173e-12,-1.4174774444444442e-09,1.7729285697907442e-12,-9.422700800000002e-10,2.8611130897537003e-12,-1.2111679999999998e-09,1.6748234056162398e-12,-1.3297497999999998e-09,1.6767318080122333e-12,-1.4728565e-09,2.1678750759672418e-12,-1.5652578e-09,9.634637388090953e-13,-7.7416073e-10,1.4093954213811e-12,-8.513385600000002e-10,1.3730640084278665e-12,-8.761330800000001e-10,1.482632162729516e-12,-9.137365799999999e-10,3.135917014329303e-12,-9.3801546e-10,8.938904389465165e-13,-1.85971613e-10,9.803335937142624e-12,-3.3101171000000005e-10,5.147452603559357e-12,-3.6844906e-10,3.097113653846108e-12,-3.9164678999999996e-10,3.198745830335694e-12,-3.9174435e-10,3.188638197075674e-12,-5.6443713e-11,9.19449446846536e-12,-1.4293748999999999e-10,2.0346166034145096e-12,-1.7117521999999998e-10,2.1374883657601517e-12,-3.675967500000001e-10,1.6473040944069815e-12,-3.8222210999999994e-10,1.1425155062798905e-12
4,-4.8,-7.898496800000001e-11,1.7828603728166728e-13,-7.680453200000001e-10,7.240110375954227e-13,-1.1064693000000002e-09,2.831196916676751e-12,-1.2116546999999999e-09,2.7090437355273557e-12,-1.3185234e-09,6.090291656727116e-12,-1.396955777777778e-09,1.705169055012686e-12,-9.2538155e-10,2.7613464760963905e-12,-1.1933363e-09,1.7162565953260003e-12,-1.3111005000000001e-09,1.6086430881335984e-12,-1.4544153e-09,2.1603557996311666e-12,-1.5460129999999998e-09,1.0118341959036582e-12,-7.564789700000001e-10,1.5235445904239241e-12,-8.332642999999998e-10,1.3979774457408087e-12,-8.5820392e-10,2.007309998869134e-12,-8.971283499999999e-10,3.5819534893476756e-12,-9.189235300000001e-10,1.274835380984537e-12,-1.7111207800000001e-10,1.0087618531429287e-11,-3.1710693e-10,4.859957379258587e-12,-3.5349930999999994e-10,3.043787877807849e-12,-3.7645266000000004e-10,3.0430018808472664e-12,-3.764421399999999e-10,3.210271726013234e-12,-4.368193e-11,9.231268521409285e-12,-1.2985293e-10,1.9764550611663302e-12,-1.5785119999999997e-10,2.259195975430197e-12,-3.539306e-10,1.5665182396001634e-12,-3.6991215e-10,2.119640529865853e-12
5,-4.75,-7.7182184e-11,1.1197685587834691e-13,-7.522877600000001e-10,6.073635758258828e-13,-1.0882268e-09,2.694835786462688e-12,-1.1965374e-09,4.524393020505617e-12,-1.3005167000000002e-09,5.930230484643913e-12,-1.3784263333333335e-09,2.1358407348031448e-12,-9.0970898e-10,2.665122225144653e-12,-1.1767308000000002e-09,1.6167479877828808e-12,-1.2945765e-09,1.666666980833309e-12,-1.4375114999999998e-09,1.83784643128853e-12,-1.5292376e-09,1.08909886787196e-12,-7.4011804e-10,1.5306538382795789e-12,-8.178747599999999e-10,1.1924726222601504e-12,-8.4184838e-10,1.5243512707246946e-12,-8.8067881e-10,3.591173216107796e-12,-9.022127500000001e-10,1.3310183639792518e-12,-1.5767303700000002e-10,9.790488786950939e-12,-3.0412493999999996e-10,4.66671970534336e-12,-3.4048223999999995e-10,2.791323449090054e-12,-3.621959900000001e-10,2.8727461557001497e-12,-3.6370210000000004e-10,2.8550581791970533e-12,-3.2536189e-11,9.013238267133455e-12,-1.1768699e-10,1.9822925111824437e-12,-1.4574732999999998e-10,2.3019017262711293e-12,-3.4073346000000003e-10,1.5958910639639511e-12,-3.5792554e-10,2.8239574047495844e-12
6,-4.7,-7.571464299999999e-11,9.313465731992537e-14,-7.368496700000001e-10,9.689592365058536e-13,-1.0723018999999999e-09,2.6945834945311964e-12,-1.1795031e-09,4.553529278372978e-12,-1.2843788000000003e-09,5.783382834985068e-12,-1.363242e-09,2.1826243785355726e-12,-8.960404000000001e-10,2.531019758713869e-12,-1.1608135000000001e-09,1.624975890590377e-12,-1.2798353000000002e-09,1.81777230174739e-12,-1.4203182e-09,7.887108189951499e-13,-1.5136121000000004e-09,8.889722993434644e-13,-7.2474683e-10,1.629453174905613e-12,-8.0216701e-10,1.5950111084534764e-12,-8.283243999999998e-10,1.442310813867798e-12,-8.6451845e-10,3.5672787747595488e-12,-8.8684943e-10,1.2098955358253054e-12,-1.4619648e-10,9.630366256719419e-12,-2.9152742e-10,4.873359674696708e-12,-3.2814056000000003e-10,2.657663446533436e-12,-3.494276e-10,2.7274792372078655e-12,-3.5191245e-10,2.7796512187772766e-12,-2.19332593e-11,9.109354860136595e-12,-1.068886e-10,1.994973213103373e-12,-1.3475782000000002e-10,2.0711631614047216e-12,-3.2985925e-10,1.8631669179249613e-12,-3.4541319e-10,3.094315224422037e-12
7,-4.65,-7.4011169e-11,1.2472322661356916e-13,-7.212894499999999e-10,1.187533901347663e-12,-1.0573484e-09,2.7515027973818285e-12,-1.1639397e-09,4.906013520262658e-12,-1.2683085000000003e-09,5.972985766348359e-12,-1.348169e-09,2.0606864983408915e-12,-8.815299400000001e-10,2.5396231688264238e-12,-1.1460733e-09,1.6473871921925299e-12,-1.2644917999999998e-09,1.7054800720031801e-12,-1.4038834e-09,9.864743402643625e-13,-1.4975231000000002e-09,1.036015313110767e-12,-7.1112439e-10,1.504111054108035e-12,-7.873774400000001e-10,1.3673545462827166e-12,-8.1313927e-10,1.6707777303429676e-12,-8.498965899999999e-10,3.2163434341951113e-12,-8.7415431e-10,9.387136953778858e-13,-1.3583784499999998e-10,9.56036423680722e-12,-2.8031315e-10,5.1040880062602765e-12,-3.1710706e-10,2.7066560749086707e-12,-3.376641e-10,2.9297898348857713e-12,-3.4004367999999995e-10,3.0619430011938517e-12,-1.26697671e-11,9.302088407657206e-12,-9.6490561e-11,1.846626869631463e-12,-1.2498089e-10,2.1467682113563157e-12,-3.1831805000000004e-10,1.639035612685093e-12,-3.3368744e-10,2.902674887416778e-12
8,-4.6,-7.259390200000001e-11,1.5368819114557955e-13,-7.079230200000001e-10,1.20093393530202e-12,-1.0419779000000001e-09,2.740666887638843e-12,-1.1458858000000002e-09,2.883273728940773e-12,-1.2527328e-09,6.206073302499736e-12,-1.3315421111111112e-09,1.8570823499029332e-12,-8.681243199999998e-10,2.3351857251105355e-12,-1.1315707999999999e-09,1.674470338943024e-12,-1.2494166000000002e-09,1.6225022970707942e-12,-1.3888538000000002e-09,8.692778013960788e-13,-1.4819079999999999e-09,1.0321619543463127e-12,-6.9779334e-10,1.6525695851128305e-12,-7.7329733e-10,1.2531014073928762e-12,-7.9768668e-10,1.7278866963316753e-12,-8.350419699999998e-10,2.8474929039086236e-12,-8.586648e-10,1.2648167829373483e-12,-1.2539888099999997e-10,9.212746279669536e-12,-2.6967631e-10,4.937220019088676e-12,-3.0547129000000004e-10,2.7712060726135092e-12,-3.2580611e-10,3.045858639216534e-12,-3.2812890999999993e-10,3.0642217004143187e-12,-3.380882500000001e-12,9.221795934224781e-12,-8.703627e-11,1.8667772079104666e-12,-1.1580843999999999e-10,2.305591125859051e-12,-3.0774315000000004e-10,1.5815427020001684e-12,-3.238857e-10,2.3895977208727005e-12
9,-4.55,-7.098208200000001e-11,1.3181934291901126e-13,-6.956154799999999e-10,9.538284855045973e-13,-1.0272114999999999e-09,2.678273414907443e-12,-1.1334575e-09,4.32582042680924e-12,-1.2376239000000001e-09,5.98105831513119e-12,-1.3162978888888888e-09,2.1856021516808846e-12,-8.546200600000001e-10,2.4253302564887927e-12,-1.1180392000000002e-09,1.578993564268072e-12,-1.2344414000000002e-09,1.937586721672093e-12,-1.3742748e-09,9.794075433648719e-13,-1.4670659e-09,8.652413819276222e-13,-6.847008900000001e-10,1.6138720083978169e-12,-7.603590799999999e-10,1.2610743472769562e-12,-7.850140000000001e-10,1.5725844091812648e-12,-8.224801200000001e-10,2.9789447063952e-12,-8.457817299999998e-10,1.281514453609476e-12,-1.1422761e-10,9.27835997789965e-12,-2.580652e-10,4.699835701532555e-12,-2.9421127000000003e-10,2.8073618462553062e-12,-3.1367803999999995e-10,2.7391037269953842e-12,-3.1749906000000004e-10,3.1608804970514154e-12,6.4621204000000006e-12,9.221922192283442e-12,-7.7387921e-11,1.9282338387127477e-12,-1.0589928200000003e-10,2.40448388156993e-12,-2.9668728999999996e-10,1.5969781600541694e-12,-3.1192400000000003e-10,2.3726705357044422e-12
