Tensao,Corrente
-10,-0.0001280191
-9.9,-0.000112812
-9.8,-0.0001091368
-9.7,-0.0001070561
-9.6,-0.0001044705
-9.5,-0.0001026959
-9.4,-0.0001017641
-9.3,-0.0001002609
-9.2,-9.874287E-05
-9.1,-9.655854E-05
-9,-9.54108E-05
-8.9,-9.419888E-05
-8.8,-9.208481E-05
-8.7,-9.030018E-05
-8.6,-8.992629E-05
-8.5,-8.875387E-05
-8.4,-8.689525E-05
-8.3,-8.524158E-05
-8.2,-8.43591E-05
-8.1,-8.303616E-05
-8,-8.143795E-05
-7.9,-7.943494E-05
-7.8,-7.87241E-05
-7.7,-7.687781E-05
-7.6,-7.583247E-05
-7.5,-7.411331E-05
-7.4,-7.298909E-05
-7.3,-7.161426E-05
-7.2,-6.984078E-05
-7.1,-6.856104E-05
-7,-6.702941E-05
-6.9,-6.549538E-05
-6.8,-6.43921E-05
-6.7,-6.301974E-05
-6.6,-6.184485E-05
-6.5,-6.001463E-05
-6.4,-5.906928E-05
-6.3,-5.77043E-05
-6.2,-5.6153E-05
-6.1,-5.507563E-05
-6,-5.354407E-05
-5.9,-5.153488E-05
-5.8,-4.998113E-05
-5.7,-4.900986E-05
-5.6,-4.770412E-05
-5.5,-4.598378E-05
-5.4,-4.429422E-05
-5.3,-4.277011E-05
-5.2,-4.168774E-05
-5.1,-4.047954E-05
-5,-3.898994E-05
-4.9,-3.775334E-05
-4.8,-3.560843E-05
-4.7,-3.41213E-05
-4.6,-3.296121E-05
-4.5,-3.082862E-05
-4.4,-2.992524E-05
-4.3,-2.877503E-05
-4.2,-2.69843E-05
-4.1,-2.585261E-05
-4,-2.399153E-05
-3.9,-2.304001E-05
-3.8,-2.213046E-05
-3.7,-2.001763E-05
-3.6,-1.887852E-05
-3.5,-1.808498E-05
-3.4,-1.643123E-05
-3.3,-1.506382E-05
-3.2,-1.31065E-05
-3.1,-1.207475E-05
-3,-1.072214E-05
-2.9,-8.979545E-06
-2.8,-7.222142E-06
-2.7,-5.962094E-06
-2.6,-4.650212E-06
-2.5,-2.616364E-06
-2.4,-1.419255E-06
-2.3,-3.097698E-07
-2.2,3.603738E-07
-2.1,2.230137E-06
-2,4.376356E-06
-1.9,5.736405E-06
-1.8,6.669435E-06
-1.7,8.324461E-06
-1.6,9.274764E-06
-1.5,1.090757E-05
-1.4,1.244658E-05
-1.3,1.420773E-05
-1.2,1.52543E-05
-1.1,1.689945E-05
-1,1.815831E-05
-0.9,1.965411E-05
-0.8,2.160287E-05
-0.7,2.311103E-05
-0.6,2.385027E-05
-0.5,2.523009E-05
-0.4,2.709986E-05
-0.3,2.761326E-05
-0.2,2.946082E-05
-0.1,3.08764E-05
0,2.658892E-05
0.1,2.793292E-05
0.2,2.942626E-05
0.3,2.978663E-05
0.4,2.995077E-05
0.5,3.094183E-05
0.6,3.177242E-05
0.7,3.2856E-05
0.8,3.354342E-05
0.9,3.513305E-05
1,3.59081E-05
1.1,3.642152E-05
1.2,3.662268E-05
1.3,3.688433E-05
1.4,3.855046E-05
1.5,3.899228E-05
1.6,4.036713E-05
1.7,4.228379E-05
1.8,4.447817E-05
1.9,4.4899E-05
2,4.592834E-05
2.1,4.786967E-05
2.2,4.878791E-05
2.3,5.065764E-05
2.4,5.213368E-05
2.5,5.331107E-05
2.6,5.455638E-05
2.7,5.59522E-05
2.8,5.690253E-05
2.9,5.894878E-05
3,5.938813E-05
3.1,6.003359E-05
3.2,6.082591E-05
3.3,6.302771E-05
3.4,6.410265E-05
3.5,6.575768E-05
3.6,6.611556E-05
3.7,6.724855E-05
3.8,6.923676E-05
3.9,7.017726E-05
4,7.175941E-05
4.1,7.283565E-05
4.2,7.429689E-05
4.3,7.599505E-05
4.4,7.684788E-05
4.5,7.898547E-05
4.6,7.943104E-05
4.7,8.008505E-05
4.8,8.13859E-05
4.9,8.313598E-05
5,8.448614E-05
5.1,8.600546E-05
5.2,8.609672E-05
5.3,8.733336E-05
5.4,8.981779E-05
5.5,9.106671E-05
5.6,9.267984E-05
5.7,9.249839E-05
5.8,9.487414E-05
5.9,9.554676E-05
6,9.709188E-05
6.1,9.861859E-05
6.2,9.942705E-05
6.3,0.0001008291
6.4,0.0001029309
6.5,0.0001039884
6.6,0.0001058249
6.7,0.0001065975
6.8,0.0001078477
6.9,0.0001093447
7,0.0001102421
7.1,0.000112213
7.2,0.0001138409
7.3,0.0001142494
7.4,0.0001162005
7.5,0.0001168263
7.6,0.0001184369
7.7,0.0001201401
7.8,0.0001205461
7.9,0.0001218345
8,0.0001244719
8.1,0.0001259209
8.2,0.000127266
8.3,0.0001282201
8.4,0.0001291767
8.5,0.0001308181
8.6,0.0001318511
8.7,0.0001338629
8.8,0.0001354893
8.9,0.0001366594
9,0.0001376739
9.1,0.0001380465
9.2,0.000140858
9.3,0.0001414628
9.4,0.0001427327
9.5,0.0001444519
9.6,0.0001451517
9.7,0.0001471658
9.8,0.0001498994
9.9,0.0001502068
10,0.0001506079
