Tensao,Corrente
-10,-0.0001467556
-9.9,-0.0001252948
-9.8,-0.0001166692
-9.7,-0.000112673
-9.6,-0.0001094766
-9.5,-0.0001069565
-9.4,-0.0001045585
-9.3,-0.0001018556
-9.2,-9.981922E-05
-9.1,-9.707939E-05
-9,-9.50541E-05
-8.9,-9.240068E-05
-8.8,-8.978177E-05
-8.7,-8.823286E-05
-8.6,-8.740846E-05
-8.5,-8.418731E-05
-8.4,-8.262488E-05
-8.3,-8.137338E-05
-8.2,-7.879034E-05
-8.1,-7.67045E-05
-8,-7.535927E-05
-7.9,-7.479778E-05
-7.8,-7.304528E-05
-7.7,-7.021286E-05
-7.6,-6.831596E-05
-7.5,-6.834432E-05
-7.4,-6.67448E-05
-7.3,-6.416789E-05
-7.2,-6.197109E-05
-7.1,-6.115532E-05
-7,-5.875731E-05
-6.9,-5.643464E-05
-6.8,-5.456978E-05
-6.7,-5.288639E-05
-6.6,-5.129311E-05
-6.5,-4.938878E-05
-6.4,-4.724013E-05
-6.3,-4.637246E-05
-6.2,-4.340928E-05
-6.1,-4.296866E-05
-6,-3.975861E-05
-5.9,-3.894283E-05
-5.8,-3.794682E-05
-5.7,-3.569576E-05
-5.6,-3.350015E-05
-5.5,-3.230053E-05
-5.4,-3.036169E-05
-5.3,-2.921266E-05
-5.2,-2.660488E-05
-5.1,-2.538183E-05
-5,-2.410815E-05
-4.9,-2.290978E-05
-4.8,-2.075989E-05
-4.7,-1.91715E-05
-4.6,-1.754118E-05
-4.5,-1.473591E-05
-4.4,-1.191462E-05
-4.3,-9.33769E-06
-4.2,-7.75302E-06
-4.1,-5.345161E-06
-4,-4.324515E-06
-3.9,-1.318091E-06
-3.8,4.689595E-08
-3.7,3.498953E-06
-3.6,6.182103E-06
-3.5,7.793969E-06
-3.4,9.362629E-06
-3.3,1.204455E-05
-3.2,1.524976E-05
-3.1,1.735902E-05
-3,1.889558E-05
-2.9,2.213413E-05
-2.8,2.60342E-05
-2.7,2.780898E-05
-2.6,2.919621E-05
-2.5,3.105986E-05
-2.4,3.617192E-05
-2.3,3.905006E-05
-2.2,4.136792E-05
-2.1,4.563324E-05
-2,4.904587E-05
-1.9,5.236707E-05
-1.8,5.448741E-05
-1.7,5.880466E-05
-1.6,6.347362E-05
-1.5,6.705033E-05
-1.4,7.050118E-05
-1.3,7.439011E-05
-1.2,7.980573E-05
-1.1,8.442291E-05
-1,9.052967E-05
-0.9,9.860386E-05
-0.8,0.000111579
-0.7,0.000127262
-0.6,0.0001494295
-0.5,0.0001811397
-0.4,0.0002298423
-0.3,0.0002911031
-0.2,0.0003739563
-0.1,0.0004669173
0,0.000584324
0.1,0.0006694592
0.2,0.0007753337
0.3,0.000887295
0.4,0.001001831
0.5,0.001118538
0.6,0.001238169
0.7,0.001359619
0.8,0.00148128
0.9,0.001602681
1,0.001721494
1.1,0.001839104
1.2,0.001952671
1.3,0.002064166
1.4,0.002087253
1.5,0.002261313
1.6,0.002368749
1.7,0.002464782
1.8,0.002560974
1.9,0.002657582
2,0.002744502
2.1,0.00282722
2.2,0.00290919
2.3,0.002993982
2.4,0.003070921
2.5,0.003137902
2.6,0.003213868
2.7,0.003283564
2.8,0.003353464
2.9,0.003415397
3,0.003478523
3.1,0.003539182
3.2,0.003601385
3.3,0.003659183
3.4,0.003715986
3.5,0.003776292
3.6,0.003834976
3.7,0.003886381
3.8,0.003940938
3.9,0.004001044
4,0.004059923
4.1,0.004117189
4.2,0.004171191
4.3,0.004224209
4.4,0.004283018
4.5,0.004333369
4.6,0.004383738
4.7,0.004430841
4.8,0.004485174
4.9,0.004530929
5,0.004576576
5.1,0.004629082
5.2,0.00467419
5.3,0.004724674
5.4,0.004769338
5.5,0.004810203
5.6,0.004855445
5.7,0.004890873
5.8,0.00492448
5.9,0.004963085
6,0.004998622
6.1,0.005039458
6.2,0.005069027
6.3,0.005108395
6.4,0.005138599
6.5,0.005171294
6.6,0.005206854
6.7,0.00524651
6.8,0.005277506
6.9,0.005310932
7,0.005334205
7.1,0.005361053
7.2,0.005392786
7.3,0.005419013
7.4,0.005442242
7.5,0.005467687
7.6,0.005496614
7.7,0.005522572
7.8,0.005554679
7.9,0.005573348
8,0.005602304
8.1,0.005619771
8.2,0.005643439
8.3,0.005661599
8.4,0.005683708
8.5,0.005699941
8.6,0.005720795
8.7,0.005740923
8.8,0.005766335
8.9,0.005789297
9,0.005810555
9.1,0.005824404
9.2,0.005849236
9.3,0.005868839
9.4,0.00588683
9.5,0.005904396
9.6,0.005924183
9.7,0.005944958
9.8,0.005960689
9.9,0.005978002
10,0.005993952
