Tensao,Corrente
-10,-0.0001557741
-9.9,-0.0001332748
-9.8,-0.0001247788
-9.7,-0.0001215022
-9.6,-0.0001171284
-9.5,-0.0001119055
-9.4,-0.0001095544
-9.3,-0.0001075404
-9.2,-0.0001051239
-9.1,-0.0001013351
-9,-9.969622E-05
-8.9,-0.0001001701
-8.8,-9.805355E-05
-8.7,-9.37686E-05
-8.6,-9.120161E-05
-8.5,-8.99946E-05
-8.4,-8.853094E-05
-8.3,-8.498649E-05
-8.2,-8.355366E-05
-8.1,-8.274776E-05
-8,-8.051153E-05
-7.9,-7.737436E-05
-7.8,-7.399525E-05
-7.7,-7.327942E-05
-7.6,-7.413716E-05
-7.5,-7.64524E-05
-7.4,-7.129619E-05
-7.3,-6.631766E-05
-7.2,-6.382718E-05
-7.1,-5.967924E-05
-7,-5.818346E-05
-6.9,-5.799955E-05
-6.8,-5.725167E-05
-6.7,-5.43255E-05
-6.6,-5.096378E-05
-6.5,-4.986045E-05
-6.4,-5.007516E-05
-6.3,-4.74946E-05
-6.2,-4.449687E-05
-6.1,-4.379834E-05
-6,-4.308872E-05
-5.9,-4.036125E-05
-5.8,-3.740182E-05
-5.7,-3.618124E-05
-5.6,-3.558022E-05
-5.5,-3.321808E-05
-5.4,-2.966624E-05
-5.3,-2.855797E-05
-5.2,-2.745835E-05
-5.1,-2.677835E-05
-5,-2.306976E-05
-4.9,-2.153694E-05
-4.8,-2.08878E-05
-4.7,-1.918098E-05
-4.6,-1.536009E-05
-4.5,-1.313247E-05
-4.4,-1.258328E-05
-4.3,-1.10258E-05
-4.2,-7.280186E-06
-4.1,-4.361445E-06
-4,-2.966869E-06
-3.9,-2.712638E-06
-3.8,5.405648E-07
-3.7,1.498283E-06
-3.6,2.014168E-06
-3.5,3.123692E-06
-3.4,7.488969E-06
-3.3,1.031152E-05
-3.2,1.15642E-05
-3.1,1.361046E-05
-3,1.755241E-05
-2.9,1.995782E-05
-2.8,2.08995E-05
-2.7,2.221267E-05
-2.6,2.525858E-05
-2.5,2.84366E-05
-2.4,2.914748E-05
-2.3,3.014592E-05
-2.2,3.34387E-05
-2.1,3.649944E-05
-2,3.813472E-05
-1.9,3.952194E-05
-1.8,4.314301E-05
-1.7,4.667152E-05
-1.6,4.882393E-05
-1.5,5.000251E-05
-1.4,5.29473E-05
-1.3,5.702129E-05
-1.2,5.970934E-05
-1.1,6.138411E-05
-1,6.700209E-05
-0.9,7.28323E-05
-0.8,7.860204E-05
-0.7,8.618114E-05
-0.6,9.965331E-05
-0.5,0.000121434
-0.4,0.0001471198
-0.3,0.0001820666
-0.2,0.0002274384
-0.1,0.000287096
0,0.0003516124
0.1,0.0004020913
0.2,0.0004612328
0.3,0.0005253554
0.4,0.0005939017
0.5,0.0006622856
0.6,0.0007290772
0.7,0.0007981895
0.8,0.0008712933
0.9,0.0009451225
1,0.001014447
1.1,0.001083011
1.2,0.001151941
1.3,0.001221626
1.4,0.001285833
1.5,0.001351164
1.6,0.001414002
1.7,0.001475665
1.8,0.001534899
1.9,0.001592194
2,0.001648496
2.1,0.001704616
2.2,0.001756069
2.3,0.001807594
2.4,0.00186008
2.5,0.001910105
2.6,0.001956221
2.7,0.002002485
2.8,0.002047761
2.9,0.002090998
3,0.002087584
3.1,0.002163768
3.2,0.002207569
3.3,0.002245821
3.4,0.002280198
3.5,0.002318022
3.6,0.002356016
3.7,0.002391947
3.8,0.002426795
3.9,0.002461479
4,0.00249399
4.1,0.00253103
4.2,0.002566512
4.3,0.002601807
4.4,0.002636751
4.5,0.002673048
4.6,0.0027041
4.7,0.002734829
4.8,0.002767834
4.9,0.002799899
5,0.002832988
5.1,0.002862364
5.2,0.002892478
5.3,0.002921067
5.4,0.00295182
5.5,0.002977693
5.6,0.003005445
5.7,0.003033391
5.8,0.003059466
5.9,0.003086299
6,0.003112361
6.1,0.003138863
6.2,0.003165872
6.3,0.003184981
6.4,0.003210042
6.5,0.003230186
6.6,0.003256554
6.7,0.003278891
6.8,0.003303277
6.9,0.003323253
7,0.003344297
7.1,0.003365033
7.2,0.003386766
7.3,0.003410629
7.4,0.003432084
7.5,0.003451793
7.6,0.003474536
7.7,0.003491474
7.8,0.003510826
7.9,0.003527032
8,0.003548459
8.1,0.003563067
8.2,0.00357926
8.3,0.003597194
8.4,0.0036175
8.5,0.003637593
8.6,0.003653944
8.7,0.003670446
8.8,0.003687717
8.9,0.003703911
9,0.003717365
9.1,0.003732546
9.2,0.003746691
9.3,0.00376187
9.4,0.003778875
9.5,0.003791643
9.6,0.003807031
9.7,0.003820666
9.8,0.003835386
9.9,0.003849261
10,0.003862886
