Tensao,Corrente
-10,-0.0001379867
-9.9,-0.0001162875
-9.8,-0.0001100674
-9.7,-0.0001068535
-9.6,-0.0001010665
-9.5,-9.517581E-05
-9.4,-9.417609E-05
-9.3,-9.334911E-05
-9.2,-8.854954E-05
-9.1,-8.448776E-05
-9,-8.502961E-05
-8.9,-8.512714E-05
-8.8,-8.049154E-05
-8.7,-7.632996E-05
-8.6,-7.649652E-05
-8.5,-7.626454E-05
-8.4,-7.159562E-05
-8.3,-6.782648E-05
-8.2,-6.88237E-05
-8.1,-6.901618E-05
-8,-6.70403E-05
-7.9,-6.513225E-05
-7.8,-6.558029E-05
-7.7,-6.299346E-05
-7.6,-5.968958E-05
-7.5,-5.625241E-05
-7.4,-5.507499E-05
-7.3,-5.615615E-05
-7.2,-5.161559E-05
-7.1,-4.843759E-05
-7,-4.934719E-05
-6.9,-4.94743E-05
-6.8,-4.555582E-05
-6.7,-4.233583E-05
-6.6,-4.230622E-05
-6.5,-4.350461E-05
-6.4,-4.012914E-05
-6.3,-3.655497E-05
-6.2,-3.639206E-05
-6.1,-3.676602E-05
-6,-3.304253E-05
-5.9,-2.977813E-05
-5.8,-2.997807E-05
-5.7,-3.003115E-05
-5.6,-2.593492E-05
-5.5,-2.221512E-05
-5.4,-2.161532E-05
-5.3,-2.214109E-05
-5.2,-1.832871E-05
-5.1,-1.575545E-05
-5,-1.55148E-05
-4.9,-1.583445E-05
-4.8,-1.183326E-05
-4.7,-8.809528E-06
-4.6,-9.007E-06
-4.5,-1.005111E-05
-4.4,-6.406596E-06
-4.3,-3.646984E-06
-4.2,-4.29616E-06
-4.1,-4.692329E-06
-4,-9.799365E-07
-3.9,1.948811E-06
-3.8,2.457305E-06
-3.7,2.522719E-06
-3.6,6.153759E-06
-3.5,1.055124E-05
-3.4,1.07771E-05
-3.3,1.049324E-05
-3.2,1.489318E-05
-3.1,1.855014E-05
-3,1.700986E-05
-2.9,1.710242E-05
-2.8,2.157026E-05
-2.7,2.467183E-05
-2.6,2.473846E-05
-2.5,2.554071E-05
-2.4,2.935442E-05
-2.3,3.29361E-05
-2.2,3.365069E-05
-2.1,3.44776E-05
-2,3.717805E-05
-1.9,4.118181E-05
-1.8,4.120772E-05
-1.7,4.130648E-05
-1.6,4.621368E-05
-1.5,4.916346E-05
-1.4,4.934115E-05
-1.3,4.893387E-05
-1.2,5.390773E-05
-1.1,5.729933E-05
-1,5.865945E-05
-0.9,5.954314E-05
-0.8,6.312482E-05
-0.7,6.849853E-05
-0.6,7.086075E-05
-0.5,7.51139E-05
-0.4,9.033169E-05
-0.3,0.0001163291
-0.2,0.0001567161
-0.1,0.0002129441
0,0.0002844652
0.1,0.000338542
0.2,0.0004036342
0.3,0.0004675207
0.4,0.0005342727
0.5,0.0006005518
0.6,0.0006703191
0.7,0.0007371082
0.8,0.0008083397
0.9,0.0008765199
1,0.0009508819
1.1,0.001016805
1.2,0.001084926
1.3,0.001149703
1.4,0.001217189
1.5,0.001278767
1.6,0.001338175
1.7,0.001399903
1.8,0.001460313
1.9,0.001516381
2,0.001568471
2.1,0.001622375
2.2,0.001678363
2.3,0.001726463
2.4,0.001771401
2.5,0.001819551
2.6,0.001871373
2.7,0.001914565
2.8,0.001955962
2.9,0.001998195
3,0.002044807
3.1,0.002084084
3.2,0.002133052
3.3,0.002162274
3.4,0.002197804
3.5,0.002239575
3.6,0.002277637
3.7,0.002311849
3.8,0.002344327
3.9,0.002393016
4,0.0024243
4.1,0.002459393
4.2,0.002495291
4.3,0.002533825
4.4,0.002567948
4.5,0.002603356
4.6,0.002641364
4.7,0.00267804
4.8,0.002711512
4.9,0.002735868
5,0.002776626
5.1,0.002807036
5.2,0.002846541
5.3,0.002875302
5.4,0.002902693
5.5,0.002937369
5.6,0.002958566
5.7,0.002986764
5.8,0.003002917
5.9,0.003041403
6,0.003076942
6.1,0.003110481
6.2,0.00312646
6.3,0.003141572
6.4,0.003181718
6.5,0.003196832
6.6,0.003218828
6.7,0.003237948
6.8,0.003270044
6.9,0.003295354
7,0.003310129
7.1,0.003343138
7.2,0.003358282
7.3,0.003376495
7.4,0.003392565
7.5,0.003416122
7.6,0.003440359
7.7,0.003469193
7.8,0.003478684
7.9,0.003499386
8,0.003517588
8.1,0.003543856
8.2,0.003550215
8.3,0.003567317
8.4,0.003587322
8.5,0.003605564
8.6,0.003625817
8.7,0.003638292
8.8,0.003662135
8.9,0.003681873
9,0.003700607
9.1,0.003716322
9.2,0.00373715
9.3,0.003748577
9.4,0.003761668
9.5,0.003770799
9.6,0.003790497
9.7,0.003813655
9.8,0.003821171
9.9,0.003841129
10,0.003857402
