Tensao,Corrente
-10,-0.0001249796
-9.9,-0.0001109969
-9.8,-0.0001067058
-9.7,-0.0001049582
-9.6,-0.0001039141
-9.5,-0.0001022469
-9.4,-9.940092E-05
-9.3,-9.729923E-05
-9.2,-9.595411E-05
-9.1,-9.515682E-05
-9,-9.37659E-05
-8.9,-9.258361E-05
-8.8,-9.16592E-05
-8.7,-9.091379E-05
-8.6,-8.906757E-05
-8.5,-8.725713E-05
-8.4,-8.60748E-05
-8.3,-8.481718E-05
-8.2,-8.251798E-05
-8.1,-8.058293E-05
-8,-7.933141E-05
-7.9,-7.943265E-05
-7.8,-7.718903E-05
-7.7,-7.40037E-05
-7.6,-7.447759E-05
-7.5,-7.620906E-05
-7.4,-7.181555E-05
-7.3,-6.888325E-05
-7.2,-6.85871E-05
-7.1,-6.825628E-05
-7,-6.645818E-05
-6.9,-6.327906E-05
-6.8,-6.240038E-05
-6.7,-6.216586E-05
-6.6,-6.078613E-05
-6.5,-5.843878E-05
-6.4,-5.689981E-05
-6.3,-5.685538E-05
-6.2,-5.494494E-05
-6.1,-5.303447E-05
-6,-5.073773E-05
-5.9,-5.155723E-05
-5.8,-5.054525E-05
-5.7,-4.724763E-05
-5.6,-4.514467E-05
-5.5,-4.52471E-05
-5.4,-4.358228E-05
-5.3,-4.143611E-05
-5.2,-4.004767E-05
-5.1,-3.945776E-05
-5,-3.858897E-05
-4.9,-3.631073E-05
-4.8,-3.439535E-05
-4.7,-3.397205E-05
-4.6,-3.277494E-05
-4.5,-3.065468E-05
-4.4,-2.859738E-05
-4.3,-2.848013E-05
-4.2,-2.71189E-05
-4.1,-2.460124E-05
-4,-2.322642E-05
-3.9,-2.19133E-05
-3.8,-2.063722E-05
-3.7,-1.884278E-05
-3.6,-1.703106E-05
-3.5,-1.621282E-05
-3.4,-1.582779E-05
-3.3,-1.428018E-05
-3.2,-1.116399E-05
-3.1,-9.47199E-06
-3,-9.276993E-06
-2.9,-7.66028E-06
-2.8,-5.168559E-06
-2.7,-4.930372E-06
-2.6,-4.355267E-06
-2.5,-2.522575E-06
-2.4,-3.184094E-07
-2.3,9.021757E-07
-2.2,8.281249E-07
-2.1,2.980518E-06
-2,5.857375E-06
-1.9,6.933572E-06
-1.8,7.64198E-06
-1.7,9.301941E-06
-1.6,1.147285E-05
-1.5,1.260211E-05
-1.4,1.359809E-05
-1.3,1.513587E-05
-1.2,1.700688E-05
-1.1,1.889021E-05
-1,1.951964E-05
-0.9,2.011452E-05
-0.8,2.26174E-05
-0.7,2.438597E-05
-0.6,2.528569E-05
-0.5,2.532024E-05
-0.4,2.817364E-05
-0.3,2.994716E-05
-0.2,2.986939E-05
-0.1,3.142198E-05
0,2.812427E-05
0.1,2.879072E-05
0.2,3.082959E-05
0.3,3.039268E-05
0.4,2.975832E-05
0.5,3.118501E-05
0.6,3.254138E-05
0.7,3.309181E-05
0.8,3.339664E-05
0.9,3.493196E-05
1,3.674248E-05
1.1,3.772982E-05
1.2,3.822348E-05
1.3,3.891585E-05
1.4,4.102631E-05
1.5,4.105466E-05
1.6,4.057579E-05
1.7,4.306018E-05
1.8,4.504226E-05
1.9,4.607526E-05
2,4.699596E-05
2.1,4.78698E-05
2.2,4.999252E-05
2.3,5.054792E-05
2.4,5.134396E-05
2.5,5.257199E-05
2.6,5.44874E-05
2.7,5.552656E-05
2.8,5.639172E-05
2.9,5.648675E-05
3,5.87576E-05
3.1,6.147279E-05
3.2,6.135677E-05
3.3,6.224538E-05
3.4,6.508271E-05
3.5,6.653413E-05
3.6,6.653538E-05
3.7,6.715987E-05
3.8,6.900983E-05
3.9,7.075376E-05
4,7.200882E-05
4.1,7.230515E-05
4.2,7.355162E-05
4.3,7.591757E-05
4.4,7.700113E-05
4.5,7.736888E-05
4.6,7.826741E-05
4.7,8.17798E-05
4.8,8.185886E-05
4.9,8.215499E-05
5,8.340276E-05
5.1,8.504668E-05
5.2,8.68337E-05
5.3,8.590566E-05
5.4,8.846662E-05
5.5,8.976494E-05
5.6,9.235918E-05
5.7,9.281704E-05
5.8,9.398331E-05
5.9,9.701193E-05
6,9.778454E-05
6.1,9.754877E-05
6.2,9.84584E-05
6.3,0.0001017944
6.4,0.0001037197
6.5,0.0001038456
6.6,0.0001035173
6.7,0.0001059893
6.8,0.0001083898
6.9,0.0001083848
7,0.0001093944
7.1,0.0001112827
7.2,0.0001131376
7.3,0.000114125
7.4,0.0001145199
7.5,0.0001170536
7.6,0.000119248
7.7,0.0001202674
7.8,0.000119185
7.9,0.0001220138
8,0.0001238219
8.1,0.0001250548
8.2,0.000125019
8.3,0.0001267604
8.4,0.0001293237
8.5,0.0001295866
8.6,0.0001303629
8.7,0.0001320143
8.8,0.000134448
8.9,0.0001363623
9,0.0001362352
9.1,0.00013751
9.2,0.0001403536
9.3,0.0001412212
9.4,0.0001412804
9.5,0.0001428158
9.6,0.0001448768
9.7,0.0001471045
9.8,0.000147028
9.9,0.0001474537
10,0.0001502887
