Tensao,Corrente
-10,-0.000148939
-9.9,-0.000129722
-9.8,-0.0001234475
-9.7,-0.0001224503
-9.6,-0.0001186466
-9.5,-0.0001114294
-9.4,-0.0001077183
-9.3,-0.0001064248
-9.2,-0.0001034826
-9.1,-9.795607E-05
-9,-9.751173E-05
-8.9,-9.768943E-05
-8.8,-0.000101956
-8.7,-9.73032E-05
-8.6,-9.358592E-05
-8.5,-9.467321E-05
-8.4,-9.192231E-05
-8.3,-8.066432E-05
-8.2,-7.673475E-05
-8.1,-7.823309E-05
-8,-7.359139E-05
-7.9,-7.356175E-05
-7.8,-6.92706E-05
-7.7,-7.16513E-05
-7.6,-6.902127E-05
-7.5,-6.296528E-05
-7.4,-6.281227E-05
-7.3,-6.42587E-05
-7.2,-6.524847E-05
-7.1,-5.948004E-05
-7,-5.866552E-05
-6.9,-5.954916E-05
-6.8,-5.955161E-05
-6.7,-5.473103E-05
-6.6,-5.297359E-05
-6.5,-5.500873E-05
-6.4,-5.216648E-05
-6.3,-4.847758E-05
-6.2,-4.630549E-05
-6.1,-4.781238E-05
-6,-4.573283E-05
-5.9,-4.158974E-05
-5.8,-3.860434E-05
-5.7,-4.104917E-05
-5.6,-3.887832E-05
-5.5,-3.356898E-05
-5.4,-3.281369E-05
-5.3,-3.263351E-05
-5.2,-3.107972E-05
-5.1,-2.569139E-05
-5,-2.43079E-05
-4.9,-2.602584E-05
-4.8,-2.401788E-05
-4.7,-1.954531E-05
-4.6,-1.84864E-05
-4.5,-2.030184E-05
-4.4,-1.777305E-05
-4.3,-1.507766E-05
-4.2,-1.333011E-05
-4.1,-1.344117E-05
-4,-1.102469E-05
-3.9,-5.056333E-06
-3.8,-4.023346E-06
-3.7,-4.565139E-06
-3.6,-1.891961E-06
-3.5,3.574209E-06
-3.4,6.048757E-06
-3.3,6.331386E-06
-3.2,1.078804E-05
-3.1,1.331936E-05
-3,1.323298E-05
-2.9,1.242704E-05
-2.8,1.878434E-05
-2.7,1.883741E-05
-2.6,1.668624E-05
-2.5,2.407163E-05
-2.4,2.58945E-05
-2.3,2.824813E-05
-2.2,3.324161E-05
-2.1,3.179765E-05
-2,3.223452E-05
-1.9,4.589828E-05
-1.8,4.788157E-05
-1.7,4.541569E-05
-1.6,4.813832E-05
-1.5,5.362797E-05
-1.4,5.706271E-05
-1.3,5.970142E-05
-1.2,6.205007E-05
-1.1,6.772122E-05
-1,7.278752E-05
-0.9,7.615814E-05
-0.8,8.081594E-05
-0.7,9.062891E-05
-0.6,9.663583E-05
-0.5,0.0001053899
-0.4,0.0001204014
-0.3,0.0001346549
-0.2,0.0001491308
-0.1,0.0001705019
0,0.0001844854
0.1,0.0002015937
0.2,0.0002247953
0.3,0.0002446768
0.4,0.0002649065
0.5,0.000290127
0.6,0.000316673
0.7,0.000346127
0.8,0.0003706084
0.9,0.0003984282
1,0.0004278908
1.1,0.0004512566
1.2,0.0004753516
1.3,0.000500069
1.4,0.0005263263
1.5,0.0005550851
1.6,0.0005786695
1.7,0.0006036837
1.8,0.0006285159
1.9,0.0006517286
2,0.0006751654
2.1,0.0006936328
2.2,0.0007199676
2.3,0.0007397296
2.4,0.0007584932
2.5,0.0007751549
2.6,0.0007957559
2.7,0.0008150786
2.8,0.0008287013
2.9,0.0008471179
3,0.0008701751
3.1,0.0008892444
3.2,0.0009013443
3.3,0.0009147992
3.4,0.00093215
3.5,0.0009490515
3.6,0.0009618143
3.7,0.0009774401
3.8,0.000993163
3.9,0.001009941
4,0.001021048
4.1,0.001039226
4.2,0.001054198
4.3,0.00106825
4.4,0.0010836
4.5,0.001094835
4.6,0.001109987
4.7,0.001125801
4.8,0.001134221
4.9,0.00114577
5,0.001158925
5.1,0.00117697
5.2,0.001185154
5.3,0.001196868
5.4,0.001210204
5.5,0.001226996
5.6,0.001232186
5.7,0.001235789
5.8,0.001238134
5.9,0.001261961
6,0.00127108
6.1,0.001261989
6.2,0.001283905
6.3,0.001297099
6.4,0.001312743
6.5,0.001311847
6.6,0.001318718
6.7,0.0013282
6.8,0.001344403
6.9,0.001346606
7,0.001349888
7.1,0.001356934
7.2,0.001367505
7.3,0.001381477
7.4,0.001386131
7.5,0.001392161
7.6,0.001400202
7.7,0.001405049
7.8,0.001413708
7.9,0.001421208
8,0.001424814
8.1,0.001429596
8.2,0.001439511
8.3,0.001449173
8.4,0.001454147
8.5,0.001462056
8.6,0.001467291
8.7,0.001476259
8.8,0.001477948
8.9,0.001484657
9,0.001492105
9.1,0.001501094
9.2,0.001508286
9.3,0.0015108
9.4,0.001516327
9.5,0.00152526
9.6,0.001531334
9.7,0.001533007
9.8,0.001535987
9.9,0.001542052
10,0.001544538
