Tensao,Corrente
-10,-0.0001399783
-9.9,-0.0001230432
-9.8,-0.00011705
-9.7,-0.0001133538
-9.6,-0.0001104029
-9.5,-0.0001097994
-9.4,-0.0001076692
-9.3,-0.0001025413
-9.2,-9.869439E-05
-9.1,-9.742205E-05
-9,-9.666671E-05
-8.9,-9.302595E-05
-8.8,-8.88483E-05
-8.7,-8.876683E-05
-8.6,-8.768328E-05
-8.5,-8.40882E-05
-8.4,-8.111877E-05
-8.3,-8.072876E-05
-8.2,-8.05301E-05
-8.1,-7.625989E-05
-8,-7.374345E-05
-7.9,-7.459497E-05
-7.8,-7.325102E-05
-7.7,-6.977321E-05
-7.6,-6.610401E-05
-7.5,-6.625209E-05
-7.4,-6.536723E-05
-7.3,-6.176223E-05
-7.2,-5.909516E-05
-7.1,-5.947656E-05
-7,-5.924948E-05
-6.9,-5.535328E-05
-6.8,-5.292567E-05
-6.7,-5.364763E-05
-6.6,-5.185561E-05
-6.5,-4.793102E-05
-6.4,-4.487525E-05
-6.3,-4.639696E-05
-6.2,-4.549231E-05
-6.1,-4.139612E-05
-6,-3.734934E-05
-5.9,-3.885626E-05
-5.8,-3.833912E-05
-5.7,-3.436145E-05
-5.6,-3.2293E-05
-5.5,-3.30631E-05
-5.4,-3.199678E-05
-5.3,-2.834244E-05
-5.2,-2.47671E-05
-5.1,-2.6332E-05
-5,-2.516326E-05
-4.9,-2.169527E-05
-4.8,-1.882339E-05
-4.7,-1.965521E-05
-4.6,-1.864813E-05
-4.5,-1.545289E-05
-4.4,-1.452357E-05
-4.3,-1.339926E-05
-4.2,-1.429648E-05
-4.1,-6.599048E-06
-4,-7.190208E-06
-3.9,-5.450047E-06
-3.8,-7.330901E-06
-3.7,1.851256E-07
-3.6,3.601372E-06
-3.5,1.493371E-06
-3.4,2.505411E-06
-3.3,8.425838E-06
-3.2,9.908102E-06
-3.1,9.798261E-06
-3,1.046472E-05
-2.9,1.506827E-05
-2.8,1.831296E-05
-2.7,1.789826E-05
-2.6,1.923368E-05
-2.5,2.514053E-05
-2.4,2.881716E-05
-2.3,2.78965E-05
-2.2,2.772614E-05
-2.1,3.419088E-05
-2,3.752316E-05
-1.9,3.704431E-05
-1.8,3.856482E-05
-1.7,4.359786E-05
-1.6,4.722392E-05
-1.5,4.717456E-05
-1.4,4.908636E-05
-1.3,5.586701E-05
-1.2,5.986085E-05
-1.1,5.908581E-05
-1,6.264646E-05
-0.9,7.053914E-05
-0.8,7.579801E-05
-0.7,7.990789E-05
-0.6,8.529014E-05
-0.5,9.918597E-05
-0.4,0.0001098013
-0.3,0.0001198451
-0.2,0.0001345654
-0.1,0.0001570721
0,0.0001731573
0.1,0.0001888341
0.2,0.0002058055
0.3,0.0002257648
0.4,0.0002527999
0.5,0.000276995
0.6,0.0002977048
0.7,0.0003218777
0.8,0.0003504358
0.9,0.0003790539
1,0.000401482
1.1,0.0004275749
1.2,0.0004591819
1.3,0.0004818196
1.4,0.000502355
1.5,0.0005272499
1.6,0.0005561102
1.7,0.0005817886
1.8,0.0006015361
1.9,0.0006210768
2,0.0006505298
2.1,0.0006720554
2.2,0.0006889442
2.3,0.0007079703
2.4,0.0007330961
2.5,0.0007539354
2.6,0.0007680186
2.7,0.0007866436
2.8,0.0008092028
2.9,0.0008253417
3,0.0008380541
3.1,0.0008542025
3.2,0.0008750319
3.3,0.0008908536
3.4,0.0009037446
3.5,0.0009192867
3.6,0.0009402379
3.7,0.0009553884
3.8,0.0009650752
3.9,0.0009798272
4,0.0009994715
4.1,0.001014647
4.2,0.00102381
4.3,0.001040648
4.4,0.001060847
4.5,0.001069419
4.6,0.001077037
4.7,0.001091677
4.8,0.00110778
4.9,0.001121519
5,0.001129537
5.1,0.001142228
5.2,0.001159819
5.3,0.001170403
5.4,0.001178455
5.5,0.001187689
5.6,0.001206111
5.7,0.001216223
5.8,0.001219091
5.9,0.0012295
6,0.001246861
6.1,0.00125676
6.2,0.001258604
6.3,0.001270452
6.4,0.001284784
6.5,0.001291366
6.6,0.001295587
6.7,0.001305476
6.8,0.001318511
6.9,0.001326851
7,0.001330757
7.1,0.001340026
7.2,0.001350109
7.3,0.001355609
7.4,0.001357763
7.5,0.001363982
7.6,0.001378408
7.7,0.001382125
7.8,0.001387138
7.9,0.001397647
8,0.001407423
8.1,0.001410929
8.2,0.001414177
8.3,0.001424293
8.4,0.001435917
8.5,0.001435938
8.6,0.001446945
8.7,0.001450018
8.8,0.001465329
8.9,0.00146314
9,0.001469893
9.1,0.001470032
9.2,0.001484219
9.3,0.001488774
9.4,0.001492893
9.5,0.001511853
9.6,0.001517168
9.7,0.001515997
9.8,0.001518995
9.9,0.001527476
10,0.001533082
