Tensao,Corrente
-10,-0.0001417007
-9.9,-0.0001178794
-9.8,-0.0001084205
-9.7,-0.0001019953
-9.6,-9.77966E-05
-9.5,-9.489007E-05
-9.4,-9.106159E-05
-9.3,-8.751326E-05
-9.2,-8.421798E-05
-9.1,-8.21223E-05
-9,-8.061159E-05
-8.9,-7.856652E-05
-8.8,-7.696825E-05
-8.7,-7.478746E-05
-8.6,-7.335085E-05
-8.5,-7.101816E-05
-8.4,-6.948039E-05
-8.3,-6.796843E-05
-8.2,-6.696016E-05
-8.1,-6.42881E-05
-8,-6.238005E-05
-7.9,-6.032756E-05
-7.8,-5.872929E-05
-7.7,-5.672251E-05
-7.6,-5.528955E-05
-7.5,-5.440094E-05
-7.4,-5.075761E-05
-7.3,-5.005285E-05
-7.2,-4.767209E-05
-7.1,-4.645643E-05
-7,-4.569245E-05
-6.9,-4.354002E-05
-6.8,-4.25477E-05
-6.7,-4.039279E-05
-6.6,-3.932769E-05
-6.5,-3.978682E-05
-6.4,-3.596326E-05
-6.3,-3.353438E-05
-6.2,-3.303825E-05
-6.1,-3.127457E-05
-6,-2.869386E-05
-5.9,-2.81039E-05
-5.8,-2.571202E-05
-5.7,-2.484808E-05
-5.6,-2.332756E-05
-5.5,-2.201067E-05
-5.4,-1.888074E-05
-5.3,-1.857344E-05
-5.2,-1.60532E-05
-5.1,-1.546448E-05
-5,-1.482763E-05
-4.9,-1.277764E-05
-4.8,-1.134721E-05
-4.7,-1.05783E-05
-4.6,-8.030924E-06
-4.5,-6.042632E-06
-4.4,-4.364119E-06
-4.3,-2.968246E-06
-4.2,-9.404616E-07
-4.1,9.034535E-07
-4,2.066102E-06
-3.9,3.033738E-06
-3.8,4.962845E-06
-3.7,7.544854E-06
-3.6,8.665535E-06
-3.5,1.106118E-05
-3.4,1.272369E-05
-3.3,1.458986E-05
-3.2,1.620793E-05
-3.1,1.629556E-05
-3,1.832341E-05
-2.9,1.933053E-05
-2.8,2.188169E-05
-2.7,2.304682E-05
-2.6,2.524991E-05
-2.5,2.637924E-05
-2.4,2.895877E-05
-2.3,3.010538E-05
-2.2,3.276391E-05
-2.1,3.427336E-05
-2,3.521635E-05
-1.9,3.711953E-05
-1.8,3.844015E-05
-1.7,4.08667E-05
-1.6,4.253161E-05
-1.5,4.43694E-05
-1.4,4.698348E-05
-1.3,5.049362E-05
-1.2,5.205616E-05
-1.1,5.404823E-05
-1,5.541946E-05
-0.9,5.822978E-05
-0.8,5.959113E-05
-0.7,6.37641E-05
-0.6,6.661268E-05
-0.5,7.197666E-05
-0.4,8.197146E-05
-0.3,0.0001029115
-0.2,0.0001422526
-0.1,0.0002112658
0,0.0002943186
0.1,0.000355276
0.2,0.0004259161
0.3,0.0004986258
0.4,0.0005713454
0.5,0.0006458042
0.6,0.0007174253
0.7,0.0007904241
0.8,0.0008655206
0.9,0.0009430835
1,0.001016342
1.1,0.001090649
1.2,0.00116095
1.3,0.001235638
1.4,0.001299879
1.5,0.001366542
1.6,0.00143204
1.7,0.001500962
1.8,0.001559696
1.9,0.00161282
2,0.001669022
2.1,0.001727592
2.2,0.001781323
2.3,0.001837235
2.4,0.001887046
2.5,0.001941065
2.6,0.001994745
2.7,0.002044032
2.8,0.002099493
2.9,0.002143851
3,0.002175748
3.1,0.0022209
3.2,0.002263649
3.3,0.002306166
3.4,0.002350569
3.5,0.002405072
3.6,0.002447287
3.7,0.002488717
3.8,0.00252364
3.9,0.002562397
4,0.002596039
4.1,0.0026455
4.2,0.002686229
4.3,0.002727306
4.4,0.002761344
4.5,0.002798931
4.6,0.002832907
4.7,0.00286849
4.8,0.002904408
4.9,0.002947288
5,0.002976238
5.1,0.00300549
5.2,0.003035834
5.3,0.003061578
5.4,0.003097728
5.5,0.003122788
5.6,0.003147216
5.7,0.003164446
5.8,0.003193867
5.9,0.003224344
6,0.003249303
6.1,0.0032747
6.2,0.003298655
6.3,0.003318362
6.4,0.003326723
6.5,0.003352344
6.6,0.003391466
6.7,0.003419389
6.8,0.003453225
6.9,0.003486355
7,0.003522499
7.1,0.003544286
7.2,0.003571288
7.3,0.003588401
7.4,0.003611124
7.5,0.003625538
7.6,0.003648262
7.7,0.003660553
7.8,0.003694124
7.9,0.003717807
8,0.003741613
8.1,0.0037621
8.2,0.003783239
8.3,0.003812831
8.4,0.003809658
8.5,0.003826493
8.6,0.003848307
8.7,0.003877774
8.8,0.003889455
8.9,0.003923808
9,0.003930127
9.1,0.003957536
9.2,0.003983337
9.3,0.004003666
9.4,0.004008698
9.5,0.0040221
9.6,0.004050824
9.7,0.004039712
9.8,0.004065625
9.9,0.004081428
10,0.004108106
